Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1951.5,0.048993,136.71,4.0173,0.11032,0.05373,0.13183,0.072584,0.43655,0.054192,0.8592076128459093
1950.3,0.048625,136.53,3.9695,0.1108,0.053675,0.13198,0.072692,0.43634,0.054282,0.8597733299253724
1974.9,0.050423,135.64,4.1348,0.10923,0.05388,0.13165,0.072288,0.44085,0.054012,0.8619025899973171
1950.1,0.048694,136.93,3.9456,0.11103,0.053649,0.13206,0.072736,0.43828,0.054338,0.8620994746961232
1950.5,0.049464,135.91,3.9937,0.11056,0.053704,0.13199,0.07263,0.44051,0.054243,0.8636297012361386
1949.9,0.047549,136.99,3.9441,0.11107,0.053646,0.13197,0.072766,0.44002,0.054317,0.8637833354789326
1951.2,0.050193,135.61,3.9402,0.11108,0.053646,0.13227,0.072726,0.44052,0.054371,0.8646106296956242
1949.8,0.046231,137.67,4.0171,0.11036,0.053724,0.13155,0.072642,0.44315,0.054141,0.8655612118497213
1950.6,0.049065,136.06,3.9458,0.11104,0.053651,0.13213,0.072736,0.44186,0.054339,0.8657566857601048
1955.6,0.047012,137.56,4.0361,0.11017,0.053746,0.13157,0.072577,0.44396,0.054122,0.8661434542944146
