Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1653.7,1.7438,10.463,18.33,0.11363,0.13611,0.72384,0.12605,0.26253,0.19217,0.29137,0.18761,0.12513,2.158445347374938
1650.9,1.7714,10.521,18.427,0.11371,0.13597,0.6546,0.1259,0.2624,0.19215,0.4302,0.17408,0.12505,2.2140603274284496
1818.3,1.6519,10.731,18.372,0.1137,0.13592,0.54449,0.12579,0.26227,0.19196,0.5774,0.1723,0.12475,2.2485742229458143
1797.6,1.2415,10.164,19.933,0.11252,0.13742,0.68965,0.12745,0.26421,0.19208,0.3859,0.25238,0.12553,2.2871365290955525
1717.2,1.761,10.875,17.913,0.11383,0.1358,0.56733,0.12604,0.26222,0.19176,0.58129,0.19744,0.12495,2.300660500974858
1292.3,8.7765,11.233,13.521,0.12022,0.1288,0.92603,0.11811,0.25415,0.19518,0.2916,0.15133,0.12064,2.3060644224894538
1963.7,1.1886,10.734,18.438,0.11248,0.13747,0.63279,0.12804,0.26409,0.19142,0.41087,0.42814,0.12544,2.430750775793981
1601.9,1.7699,9.5601,19.947,0.11356,0.13626,0.97565,0.12468,0.26248,0.19348,0.37924,0.12167,0.12478,2.4318157891436014
1698.0,1.7436,10.857,18.343,0.11378,0.1358,0.53579,0.12606,0.26232,0.19177,0.82152,0.18344,0.12499,2.4954650505125673
941.49,8.7746,8.9537,18.851,0.11873,0.13016,0.99638,0.11778,0.25542,0.19792,0.46609,0.10774,0.12161,2.5118420098540333
