iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,3713.8860038960697,1.7150232351191992,89.03818350725506,14.1745235823849,5.640830985741995,0.1730425953004126,5.695912154557017
2,727.4924601726382,6.7454848883342855,146.14760771053835,19.73208319558455,2.361638939698812,0.17936717227669002,2.418733283891313
3,412.8766163165218,0.23741754226342837,407.76308198324756,3.2527703430115804,1.9947895598627685,0.21142518103376967,2.062088285174015
4,1650.7803162062964,8.068263937369668,21.04532520220731,11.030188005448478,3.389494366122409,0.2450634903332049,3.4675004978381736
5,3386.3337943436127,3.8141953514358375,266.49151677318855,6.00926698639189,0.675606915954632,0.210394196497063,0.7425774686953421
6,1180.5112166788047,9.88889296489341,495.59328976657366,9.905137309299574,3.485358881102126,0.17547646551940754,3.5412147748695424
7,2973.7688231913257,3.1000932193195805,235.68246215546674,15.614055117979957,3.0728454061892116,0.20598583407200266,3.138412733588144
8,2424.4968410583183,5.832935617981249,332.7875367760958,5.3386745125766595,7.740884361540096,0.15790100113629246,7.791145811240096
9,3735.2,0.0071554,65.387,11.947,4.370950280182805,0.19072044517518869,4.431658483379441
10,474.53,9.6223,0.090637,10.597,6.015259213774515,0.18264929168828417,6.073398289023363
11,248.91,0.06634,103.38,12.442,6.3647007459194676,0.18886281950888595,6.424817648501691
12,3989.3,0.00088573,184.35,15.559,2.1151350379953273,0.12939842949162336,2.1563238373591673
13,3995.5,0.037867,119.61,17.007,2.453275252492411,0.19894740804510083,2.516602179303807
14,3955.6,0.041861,131.29,10.841,1.1659701343494104,0.20548998400424395,1.2313796277697102
15,3996.8,0.03914,274.57,14.116,0.8271557932134842,0.20670201064683724,0.8929510866964396
16,3961.1,2.2449,48.872,4.3759,0.7384601213500709,0.14442009662598432,0.78443046586974
17,3961.5,0.53058,63.55,7.1941,0.5947161413488353,0.23531272565940808,0.669618508271079
18,3991.8,0.39494,143.95,8.0885,0.4497566120017447,0.22193296039814997,0.5204000673665116
19,2852.0,1.7544,465.26,3.9612,2.3017103244293593,0.22093130069699504,2.3720349416086566
20,3837.4,2.3642,24.782,5.8032,0.4867054194388661,0.27633162881473705,0.5746645087558665
21,3794.6,0.43369,494.1,17.342,1.2087257741937567,0.18967904212182982,1.2691024885030069
22,2373.8,3.1661,498.94,2.2808,0.2917182539094641,0.16530143659562002,0.344335335378233
23,1336.9,0.024944,487.05,19.661,0.7623224638500303,0.13709847161803346,0.8059622627467382
24,167.3,1.337e-05,458.71,3.1532,0.3726521782304369,0.16711459558411856,0.42584640613046787
25,3904.5,0.013127,0.052955,2.6854,0.38821656643065156,0.13518844901762497,0.43124838625081496
26,3998.8,0.71748,146.95,19.532,5.355287694518075,0.18086463068789893,5.412858694527014
27,1212.1,2.4694e-09,464.38,1.1738,0.1973679579910987,0.1539727387437184,0.24637900293601825
28,3434.0,2.2178,7.9729,5.9359,0.157362637666498,0.24806938846568774,0.2363255764746936
29,139.12,0.00023609,477.37,4.0585,0.2033187585699308,0.25018362821954315,0.2829546807935414
30,3681.2,3.6898,0.24945,5.2896,0.16897102093822955,0.22853831080949083,0.24171702464063435
31,13.811,0.0014663,420.14,4.4105,0.24483806129217398,0.2855617853588083,0.3357352006881763
32,24.379,0.0080615,488.78,5.5544,0.23180976736590647,0.23701832920001487,0.30725504475703547
33,3676.7,2.3243,42.241,6.3189,0.29644349608596515,0.2515861203760331,0.3765258454282817
34,3997.3,3.2961,272.62,6.6964,0.2187735696475327,0.17521029822941261,0.274544739735165
35,0.86361,0.37712,431.59,4.3352,0.23179200323052088,0.23422132901728274,0.30634696781182835
