Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1808.1,0.12768,122.04,19.185,0.13008,0.18511,0.055734,0.083972,0.071584,0.062191,0.5886689890292801
1808.0,0.12808,121.77,19.185,0.13013,0.18606,0.055736,0.083941,0.071623,0.062187,0.589674020381851
1808.2,0.12742,121.95,19.201,0.13009,0.18676,0.055734,0.083969,0.071587,0.062194,0.5903282676712233
1812.6,0.12632,122.92,19.186,0.12995,0.18938,0.055734,0.084064,0.071468,0.0622,0.5927934368199462
1808.5,0.12854,122.15,19.356,0.13017,0.19016,0.055751,0.083918,0.071639,0.062168,0.593803121804876
1789.9,0.12809,121.7,19.151,0.12998,0.19052,0.055717,0.083993,0.071558,0.062202,0.5939702804775101
1808.3,0.12744,121.62,19.275,0.13015,0.19133,0.05574,0.083927,0.071636,0.062192,0.5949760519418638
1808.6,0.12847,121.48,19.848,0.13043,0.19129,0.055787,0.083773,0.071788,0.062158,0.5952297418277652
1808.9,0.12876,121.46,19.184,0.13021,0.19164,0.055739,0.083896,0.071681,0.06218,0.5953391224325036
1807.8,0.12773,122.69,19.967,0.1303,0.19202,0.055794,0.083864,0.071662,0.062152,0.5957911815653049
