Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
357.46,5.1228,139.07,1.6047,0.10417,0.10417220525357684
357.44,5.1228,139.07,1.6047,0.10417,0.10417220712926967
357.47,5.1228,139.07,1.6047,0.10417,0.10417221449441881
357.47,5.1228,139.07,1.6047,0.10417,0.10417221516691642
357.47,5.1228,139.07,1.6047,0.10417,0.10417221617188081
357.47,5.1228,139.07,1.6047,0.10417,0.10417221690414827
357.46,5.1228,139.07,1.6047,0.10417,0.10417221830858306
357.46,5.1228,139.07,1.6047,0.10417,0.1041722194423652
357.46,5.1228,139.07,1.6047,0.10417,0.10417221971096066
357.46,5.1228,139.07,1.6047,0.10417,0.1041722198359994
