Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1982.8,0.20462,149.13,3.6442,0.11957,0.096711,0.081956,0.058875,0.11387,0.26799,0.13598,0.22,0.044149,1.1391057039918533
1978.2,0.20462,149.13,3.6442,0.11958,0.096719,0.08194,0.058855,0.11386,0.26879,0.13598,0.22001,0.044154,1.1398746736941185
1985.8,0.20432,149.3,3.6799,0.11975,0.096757,0.081536,0.058304,0.11377,0.2732,0.13591,0.21995,0.044196,1.1433669535954447
1984.9,0.20456,149.24,3.6906,0.11981,0.096778,0.081409,0.058134,0.11374,0.27507,0.13589,0.21993,0.044207,1.1449665188410458
1978.4,0.20345,149.72,3.7248,0.12004,0.096862,0.080941,0.057513,0.11359,0.27693,0.13581,0.21989,0.044268,1.1458456364077154
1988.4,0.2025,149.3,3.6134,0.11941,0.096652,0.082285,0.059313,0.11394,0.27539,0.13604,0.22004,0.044132,1.1471976659061192
1945.9,0.20499,150.44,3.6933,0.11991,0.096875,0.08126,0.05795,0.11363,0.28089,0.13588,0.21996,0.044257,1.150605181407026
1986.1,0.20325,148.6,3.6921,0.11985,0.09677,0.08135,0.058047,0.11371,0.28103,0.13588,0.21993,0.044215,1.1507809095532715
1982.5,0.20673,148.84,3.5793,0.11921,0.096633,0.082803,0.060031,0.1141,0.27903,0.13612,0.22011,0.044066,1.1521171023923071
1986.7,0.202,141.87,4.4545,0.12451,0.098182,0.072411,0.0474,0.11167,0.30185,0.13477,0.2191,0.044786,1.1546732111617326
