Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
394.63,0.6347,100.23,11.415,5.0534e-06,0.066058,0.086033,0.053777,0.12474,0.067781,0.41427,0.8126628534883733
394.64,0.63449,100.1,10.813,4.9867e-06,0.065944,0.086914,0.053934,0.12516,0.067099,0.42217,0.8212160067750288
392.85,0.63196,100.57,10.737,5.1455e-06,0.065973,0.087044,0.053958,0.12517,0.067004,0.42384,0.8229851324848478
396.35,0.63387,100.25,10.737,5.0419e-06,0.065923,0.087043,0.053965,0.12522,0.067004,0.42418,0.8233382329916279
394.64,0.63274,99.402,10.58,4.9626e-06,0.065927,0.087248,0.053985,0.12534,0.066861,0.42713,0.8264902699800587
394.61,0.63367,101.08,10.503,5.1376e-06,0.065903,0.087458,0.054031,0.12535,0.066673,0.42829,0.8277077673101971
390.97,0.63113,100.66,10.812,5.178e-06,0.066008,0.086929,0.053932,0.12509,0.067093,0.42922,0.8282749119636152
394.69,0.63401,98.783,10.559,4.8803e-06,0.065922,0.087241,0.053978,0.12538,0.066873,0.42917,0.8285568195666768
399.54,0.63096,101.2,10.718,5.2094e-06,0.065899,0.087149,0.054001,0.12523,0.066919,0.42954,0.8287409049887026
395.43,0.63183,99.11,10.743,5.1108e-06,0.065977,0.086953,0.053939,0.12523,0.067112,0.4297,0.828914719621978
