Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g262),Error (g207),Error (g101),Error (curve),Error (g240),Error (g95),Error (g14),Error (g287),Reduced Error
785.06,535.72,461.82,182.79,7.6207,324.45,70.012,19.153,0.15971,0.13221,0.039591,0.041396,0.62062,0.22325,0.17049,0.054665,0.097244,1.539173915916256
583.9,533.49,705.76,168.67,7.5233,324.85,71.886,18.547,0.12539,0.1335,0.043432,0.04058,0.67967,0.22385,0.17589,0.054742,0.096329,1.573384307364785
609.48,533.56,703.84,168.94,7.5849,310.99,72.582,18.927,0.12959,0.133,0.043181,0.041235,0.68539,0.22396,0.17518,0.054385,0.096698,1.5826089866502162
783.23,535.72,551.93,171.37,6.5915,265.52,72.593,18.676,0.11657,0.13086,0.041147,0.042873,0.71147,0.22423,0.17094,0.054112,0.098004,1.5902061267298644
751.09,526.02,556.37,170.82,6.2824,276.24,73.163,19.123,0.1355,0.13096,0.041151,0.042542,0.69797,0.2242,0.1709,0.054279,0.097921,1.5954323980002305
581.68,530.51,705.87,168.6,7.5817,320.02,72.412,18.89,0.15348,0.13348,0.043375,0.04065,0.68141,0.22393,0.17596,0.054683,0.096385,1.6033537180458846
746.73,519.77,573.51,171.05,6.449,322.51,73.1,18.696,0.16636,0.13115,0.041027,0.042049,0.68778,0.22352,0.16972,0.054443,0.097902,1.6139482803818281
581.86,533.42,707.28,168.51,7.1956,323.03,70.662,18.381,0.12163,0.13344,0.043676,0.040854,0.72408,0.22394,0.17608,0.054584,0.096233,1.6145193595493808
607.36,532.06,704.97,168.77,9.158,309.42,70.969,19.389,0.13168,0.13387,0.043178,0.041366,0.72457,0.22392,0.17681,0.053885,0.096441,1.62571730269358
763.2,532.89,705.81,184.7,7.5008,317.36,72.723,18.931,0.20174,0.13083,0.042152,0.044291,0.68447,0.22349,0.16991,0.052942,0.098301,1.648135670853884
