Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
599.79,0.45033,125.28,5.1973,0.054632,0.13174,0.05715,0.10068,0.28917,0.069549,0.7029177070680575
586.49,0.47191,123.39,5.166,0.054626,0.13188,0.05708,0.10087,0.29267,0.069535,0.7066656984239901
583.22,0.46819,124.22,5.2936,0.054621,0.13149,0.057412,0.10008,0.29488,0.069453,0.7079417324191102
583.09,0.47187,123.15,5.1241,0.054628,0.13198,0.05696,0.10116,0.29373,0.069587,0.7080420609794794
580.43,0.47177,124.27,5.2815,0.054622,0.13151,0.057375,0.10017,0.29819,0.069464,0.7113321915464492
582.17,0.47187,124.12,5.1165,0.054641,0.13195,0.056923,0.10124,0.29794,0.06961,0.7123073664085696
582.54,0.46842,124.45,5.1203,0.054642,0.13192,0.056927,0.10123,0.29884,0.06962,0.7131844962940492
580.55,0.47312,121.32,5.3477,0.054588,0.13148,0.057606,0.09968,0.30187,0.06936,0.7145878688920299
583.08,0.47123,124.33,5.0961,0.054649,0.13201,0.056865,0.10138,0.30231,0.06963,0.7168410781365833
586.2,0.46284,122.68,5.1989,0.05461,0.13179,0.057176,0.10066,0.30312,0.069524,0.716876378629806
