Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
724.65,0.43481,83.411,1.1917,0.19628,0.13206,1.8846,0.18515,0.25873,0.19158,0.20088,0.11219,0.12851,3.2899508976421346
715.69,0.4628,99.764,1.2179,0.19566,0.13107,2.0014,0.18437,0.25864,0.19103,0.20096,0.11086,0.12805,3.402066522409284
696.07,3.2847e-05,262.93,18.81,0.13129,0.12412,1.5756,0.12973,0.27197,0.17623,0.5585,0.32163,0.14595,3.43499411671136
452.28,16.486,76.368,1.3673,0.19338,0.12684,2.1107,0.17481,0.25094,0.19428,0.1986,0.10125,0.13,3.480811594350276
396.58,19.96,90.46,1.4986,0.19102,0.12394,2.1969,0.17205,0.25097,0.19136,0.19879,0.099928,0.12854,3.5535188174686096
771.35,4.5744e-05,255.63,19.304,0.13147,0.12369,1.67,0.12971,0.27185,0.17629,0.64889,0.27207,0.14721,3.571147123051184
754.96,5.0028e-05,256.07,19.358,0.13103,0.12387,1.7639,0.13002,0.27224,0.17624,0.56796,0.27227,0.14727,3.584766847063151
782.25,4.3757e-05,271.4,18.492,0.13098,0.12411,1.6874,0.12941,0.27156,0.17603,0.59546,0.34287,0.14482,3.602660683689897
725.66,3.3385e-05,264.89,18.869,0.13164,0.12388,1.5716,0.12938,0.27162,0.17629,0.73846,0.31963,0.14588,3.608384423989438
425.53,2.1466e-05,250.15,19.986,0.13019,0.12476,2.0932,0.13139,0.27436,0.1763,0.24514,0.28925,0.14785,3.612434431747509
