Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
5.9772,0.91041,437.23,2.544,0.059439,0.12604,0.12301,0.34369,0.087709,0.049734,0.789622308873094
6.243,0.89269,463.29,2.519,0.059707,0.12664,0.12419,0.34118,0.087696,0.0504,0.7898065056091409
6.2499,0.87243,462.01,2.515,0.059543,0.12658,0.12449,0.34137,0.087742,0.05048,0.7901978935871812
6.2712,0.89462,463.33,2.5539,0.059299,0.12581,0.12407,0.34498,0.087652,0.050285,0.7921037370933686
6.2447,0.87964,462.95,2.5589,0.059093,0.12557,0.12424,0.34659,0.087688,0.050296,0.7934676512796262
6.0773,0.89629,462.96,2.5598,0.059258,0.12561,0.12375,0.34903,0.087704,0.050102,0.7954559406290099
5.9642,0.89114,459.03,2.514,0.059752,0.12664,0.12378,0.35201,0.087791,0.050157,0.8001331456557302
6.2666,0.82621,465.99,2.5189,0.059047,0.12613,0.12527,0.35188,0.087836,0.050705,0.8008652322972453
6.2524,0.92969,467.49,2.4768,0.060674,0.128,0.12388,0.35218,0.087651,0.050497,0.8028762355325673
6.4768,0.87791,463.63,2.5804,0.058819,0.12514,0.1245,0.35873,0.087599,0.050409,0.8051975754660771
