Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
48.034,744.79,48.561,5.6153,0.091121,0.14397,0.043958,0.13599,0.22331,0.10168,0.10655,0.76971,0.11779,1.7340871344483546
52.109,740.21,48.588,5.6185,0.089539,0.14315,0.044821,0.13432,0.22314,0.1018,0.10349,0.77904,0.11541,1.7347215318485685
52.218,738.22,48.333,5.6115,0.089514,0.14314,0.044835,0.13428,0.22314,0.10178,0.10339,0.78028,0.11534,1.7357013443894578
49.801,754.64,48.843,5.5707,0.090979,0.14384,0.044042,0.13558,0.22321,0.10176,0.10625,0.78096,0.11737,1.7439955315657771
47.909,753.79,48.389,5.7134,0.090721,0.14375,0.044099,0.13586,0.22326,0.1018,0.10609,0.79416,0.11816,1.7578993652805421
51.118,744.16,47.387,5.6808,0.08963,0.1432,0.044771,0.13461,0.22318,0.10184,0.10379,0.81422,0.1161,1.7713388523824036
46.959,753.08,50.429,5.8708,0.089936,0.14343,0.04445,0.13562,0.22327,0.10194,0.10518,0.84766,0.11789,1.8093751169006251
48.159,718.6,49.739,5.6966,0.089874,0.1435,0.044675,0.13519,0.22341,0.10167,0.10432,0.86866,0.11603,1.827343845133687
48.594,759.97,48.46,5.7801,0.090161,0.14345,0.044359,0.13545,0.2232,0.10192,0.10525,0.90396,0.11798,1.8657292032222674
53.905,688.38,69.822,7.9819,0.073959,0.13567,0.054037,0.12669,0.22353,0.10561,0.078024,0.97334,0.1076,1.878461307915988
