param_type,param_name,in_u_bound,out_l_bound,base,in_l_bound,out_u_bound
input,cp_tau_s,2.8936397209197917,0,10,1.3802293369380374,1
input,cp_b,0.8953838666914047,0,10,-0.24637864522223954,1
input,cp_tau_0,2.5967839669656976,0,10,0.9472376078706662,1
input,cp_n,1.1928739715425218,0,10,0.14507203770499771,1
input,cp_gamma_0,-4.007238883363528,0,10,-6.35386104862648,1
input,average_strain,-0.5431331467325392,0,10,-2.1617429601904963,1
output,average_stress,3.4593774078279145,0,10,1.6966621222777452,1
output,g59_phi_1,0.28339169729712815,0,10,0.22688332839091682,1
output,g59_Phi,0.36569385157726236,0,10,0.344883279369863,1
output,g59_phi_2,0.6505600594602449,0,10,0.6328013519549085,1
output,g63_phi_1,0.3416323357780543,0,10,0.2792105126013951,1
output,g63_Phi,0.48661464300720225,0,10,0.4447004291341417,1
output,g63_phi_2,0.6132708408081932,0,10,0.580320418404609,1
output,g86_phi_1,0.3269090789573479,0,10,0.31264272488340494,1
output,g86_Phi,0.2855798107295944,0,10,0.25389505713176946,1
output,g86_phi_2,0.5728367643474537,0,10,0.5572665288699041,1
output,g237_phi_1,0.33713966272456086,0,10,0.33326586072617354,1
output,g237_Phi,0.3648697986669624,0,10,0.3379182725726732,1
output,g237_phi_2,0.6230941575218436,0,10,0.6091887360236691,1
output,g303_phi_1,0.42008783318721854,0,10,0.40212376240063996,1
output,g303_Phi,0.3261309567107946,0,10,0.300899687772249,1
output,g303_phi_2,0.670505609682314,0,10,0.6486624478733192,1
