Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1397.6,0.15982,132.7,4.0248,0.054668,0.13211,0.23392,0.1074,0.072403,0.054594,0.6550842379907283
1397.1,0.15866,134.06,4.024,0.054647,0.1321,0.23732,0.10754,0.072433,0.054623,0.6586636703398944
1397.2,0.15979,131.68,4.0364,0.054707,0.13207,0.24105,0.10721,0.072379,0.054541,0.6619604582379249
1447.5,0.16048,133.32,4.0287,0.054637,0.13286,0.24214,0.10794,0.072085,0.054931,0.664586259164734
1346.4,0.1628,133.79,4.0233,0.054747,0.13124,0.24644,0.10658,0.072756,0.054276,0.6660384868250002
1394.9,0.15932,134.64,3.9892,0.054558,0.13216,0.24544,0.10793,0.072492,0.054711,0.667285063873335
1360.5,0.15897,134.9,4.0029,0.054616,0.13154,0.25,0.10735,0.072716,0.054446,0.6706758461796319
986.07,0.20958,127.55,3.5497,0.053962,0.12465,0.2597,0.1054,0.076352,0.052883,0.6729479753775158
1447.2,0.15965,131.87,3.9786,0.054509,0.13304,0.2539,0.10857,0.072142,0.055036,0.6771986862813073
1401.2,0.16137,134.62,3.9228,0.054393,0.13247,0.26003,0.10876,0.072527,0.054929,0.683106881319287
