Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
387.04,0.000115,132.56,1.9725,8.7806e-05,0.31679,0.074181,0.038845,0.03632,0.30454,0.046458,0.13618767373420695
388.59,0.00011529,132.74,1.9728,8.7803e-05,0.3168,0.074176,0.038841,0.036315,0.30603,0.046463,0.13643815772018342
388.46,0.00013013,131.81,1.9728,8.7785e-05,0.31683,0.074176,0.038831,0.036319,0.31149,0.0464,0.13734167451598336
394.16,0.00053922,136.66,1.9744,9.2104e-05,0.316,0.074121,0.038755,0.03639,0.31956,0.045572,0.13839914550047255
404.26,0.00010123,133.14,1.9482,8.9498e-05,0.31769,0.074447,0.039049,0.03639,0.32994,0.046988,0.1407495271570812
404.21,0.0001013,133.33,1.9478,9.0516e-05,0.3177,0.074468,0.039067,0.036399,0.3375,0.047014,0.14202460331882755
5.1696,0.16605,3.7675,3.5508,3.5113e-09,0.2868,0.064878,0.030903,0.036437,0.41454,0.024247,0.14296784920153663
7.4228,140.12,8.4201,3.3016,1.1581e-08,0.30271,0.071054,0.031273,0.040161,0.38554,0.0308,0.14359056279521373
381.84,0.0017087,142.54,1.9695,9.5012e-05,0.31487,0.074152,0.038756,0.036526,0.36389,0.044816,0.1455021538935643
431.64,0.00017624,133.52,1.948,8.9525e-05,0.31807,0.07441,0.038994,0.036357,0.35996,0.046846,0.14577238792142388
