Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
3785.1,0.00041133,1.7755,2.4151,0.11729,1.2337,0.27348,0.14153,0.18642,0.16934,0.069498,0.10416,0.069608,2.3649959785633303
3078.2,0.0011376,6.5824,3.1748,0.11629,1.3221,0.2771,0.15145,0.19062,0.1689,0.071191,0.099813,0.075642,2.473122040787647
2880.4,0.0018631,1.0443,2.298,0.11569,1.5331,0.26801,0.13594,0.18162,0.16948,0.067992,0.11123,0.068556,2.6516338490514872
3624.7,8.955,0.0029991,2.5726,0.14981,1.6647,0.23139,0.10301,0.154,0.16107,0.085259,0.15413,0.088904,2.7922921982866127
3414.8,8.5267,0.0078496,3.459,0.14511,1.9241,0.23128,0.10288,0.15085,0.16076,0.083188,0.15235,0.085449,3.0359947205792928
3841.9,9.2313,0.0018608,2.5243,0.15209,1.9597,0.23092,0.10311,0.15404,0.16161,0.085443,0.1538,0.090511,3.0912184644104075
3847.8,8.6364,0.0026093,2.227,0.15158,2.0305,0.23194,0.10276,0.15621,0.16123,0.086392,0.15532,0.090687,3.1666599725286884
726.53,0.23097,16.784,5.9507,0.11902,0.98154,0.28782,1.1203,0.20584,0.1625,0.070097,0.087792,0.13395,3.168864026622673
3716.7,0.00053453,6.9195,2.8175,0.11983,2.2027,0.27702,0.14911,0.19304,0.16898,0.073368,0.10065,0.07568,3.3604132077679085
3814.2,0.18651,0.0017566,1.596,0.13543,2.2996,0.23997,0.10895,0.15754,0.16142,0.07656,0.1427,0.077115,3.3993231758851112
