Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
626.99,0.4591,115.67,6.5686,0.12795,0.094156,0.033542,0.2592,0.7446,0.11466,0.22489,0.028598,0.13316,1.7607546887297505
621.4,0.47296,118.6,6.5664,0.12793,0.09426,0.03356,0.25912,0.68512,0.11461,0.32454,0.028703,0.13311,1.8009506669789945
619.68,0.46104,115.76,6.571,0.12795,0.094197,0.033499,0.25918,0.80379,0.11465,0.23569,0.028649,0.13316,1.8307735304885135
640.55,0.43616,119.45,6.5439,0.12812,0.094092,0.033234,0.25925,0.69488,0.11479,0.37554,0.028752,0.13341,1.862067773201361
635.71,0.46356,116.15,6.6359,0.1277,0.093943,0.033066,0.25938,0.65443,0.11468,0.45874,0.028532,0.133,1.903459783338629
619.91,0.42947,119.71,6.5847,0.12805,0.094101,0.032623,0.25935,0.86194,0.11483,0.25195,0.028962,0.13348,1.9052753793842765
662.43,0.41378,120.91,6.6204,0.1279,0.09379,0.032288,0.25956,0.68347,0.11491,0.44705,0.028749,0.13351,1.9212296222684109
635.71,0.45393,115.52,6.6445,0.12769,0.093873,0.032925,0.25945,0.65429,0.11472,0.48591,0.028537,0.13304,1.9304476517315252
662.74,0.40966,117.49,6.5979,0.12798,0.093787,0.032558,0.25953,0.69318,0.11493,0.45911,0.028622,0.13353,1.9432353287876731
620.36,0.4737,119.94,6.593,0.12785,0.094193,0.033265,0.25919,0.71525,0.11463,0.45392,0.02875,0.13307,1.9601116791292517
