Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
417.67,3.7783,86.177,2.4375,0.043872,0.10036,0.08044,0.14084,0.22563,0.099652,0.1986,0.11424,0.11783,1.1214710483183346
417.71,3.733,86.668,2.4079,0.043847,0.10059,0.081567,0.14112,0.22579,0.1004,0.19812,0.11422,0.11798,1.1236255324155267
411.18,3.7033,86.599,2.4687,0.043919,0.10018,0.079335,0.14059,0.22545,0.098896,0.20566,0.11427,0.11764,1.1259441267237884
417.77,3.7176,84.408,2.488,0.043908,0.099951,0.07857,0.14039,0.22536,0.098436,0.21771,0.11432,0.1176,1.1362389406982467
413.85,3.9626,86.577,2.4406,0.043882,0.10035,0.08034,0.14083,0.22561,0.099577,0.21475,0.11425,0.11778,1.1373595835161485
419.96,3.3836,85.707,2.422,0.043848,0.10044,0.080945,0.14095,0.22571,0.1,0.21365,0.11422,0.11795,1.1377074885451557
418.66,11.696,84.962,2.5389,0.043999,0.09962,0.076897,0.14003,0.22525,0.097476,0.22857,0.11462,0.11708,1.1435253083665389
414.81,3.104,85.144,2.4591,0.043891,0.10027,0.079575,0.14062,0.2255,0.09908,0.22351,0.11426,0.11775,1.1444560562857578
417.51,13.347,86.691,2.4615,0.043955,0.10049,0.079717,0.14072,0.22568,0.099315,0.2238,0.11447,0.11741,1.145547602535789
417.5,13.1,86.811,2.4627,0.043956,0.10047,0.079683,0.14071,0.22567,0.099287,0.22421,0.11446,0.11741,1.1458473597956007
