iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29955099798030954,0.08867931994109184,0.32777850221761445
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.04702659132775411,0.08413005260753945,0.0738060187978963
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.17042017669546172,0.07801255028422358,0.19525234269734018
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16163168329554942,0.07387128640728141,0.18514564406410136
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.18473398162798507,0.07233959407979396,0.2077603895861059
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.019399590500104123,0.0730363489196098,0.04264778241198475
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03405520919243948,0.07296385180762834,0.057280324556856624
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03261416407617699,0.07321412031578726,0.05591894238094159
9,494.02,0.50636,99.313,12.387,4.517e-06,0.01624097060845415,0.07321841430164658,0.039547115731368904
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019167120810517288,0.07309900341668406,0.04243525626823051
11,455.66,0.58146,102.25,13.326,8.357e-06,0.022251525311236066,0.0731426489997826,0.04553355358953781
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.017307201108846256,0.07315353991101889,0.04059269607186407
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.02032502880823662,0.07311593449051104,0.043598553594132686
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.0654672640396259,0.07316562038009229,0.08875660433537952
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.01791711363065978,0.07318699630502506,0.04121325809464582
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.014989380922756144,0.07306745424868458,0.038247473968394265
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.016708655157551284,0.0731021047635835,0.039977777804643094
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.016308963481215816,0.07313689854227487,0.03958916133204278
19,302.32,0.50201,75.631,12.165,7.615e-08,0.04674349528609995,0.07296119462975174,0.06996776484452963
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.022759030706686407,0.07317854524076631,0.04605248511337011
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.0159039213969785,0.0731400054577046,0.03918510820970228
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.015821976946744483,0.07315268785432084,0.03910720069169172
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.030109823971575713,0.07323370025082825,0.0534208347632347
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.017651550696719857,0.07303586814410427,0.04089958957300403
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.014680967899939801,0.07318040275642365,0.037975013572220974
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.015179150326771059,0.07318728025741048,0.03847538517560858
27,460.73,0.51702,98.837,15.315,2.3645e-06,0.015125134804304075,0.07318194074119963,0.03841967003234424
