Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
442.87,0.65637,125.67,12.636,0.090321,0.2211,0.064291,0.064442,0.12562,0.055701,0.6214781250534949
443.54,0.65045,126.45,12.665,0.090394,0.22751,0.064206,0.06447,0.12551,0.055719,0.6278062471241115
474.66,0.57457,134.28,13.048,0.090714,0.23278,0.063872,0.06429,0.12543,0.056127,0.6332138228410388
443.25,0.67587,121.54,12.621,0.089979,0.23971,0.064697,0.064184,0.12637,0.055692,0.6406345368662383
456.58,0.64762,125.87,12.692,0.08999,0.24035,0.064674,0.064157,0.12627,0.055815,0.6412515969279068
475.54,0.60008,130.42,12.805,0.090018,0.24086,0.064641,0.064106,0.12626,0.056013,0.6418955686700688
459.56,0.62728,128.37,12.273,0.089751,0.24117,0.064942,0.064498,0.12595,0.055682,0.6419907224854442
441.16,0.65702,124.64,12.719,0.090402,0.24241,0.064214,0.064385,0.1257,0.055723,0.6428427704851345
446.36,0.63583,127.34,12.777,0.090519,0.24531,0.064074,0.064445,0.12546,0.055789,0.6455992264079201
451.22,0.65028,121.59,12.704,0.089852,0.24475,0.06486,0.064061,0.12674,0.055789,0.6460565342405518
