Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
3519.8,0.15053,313.74,19.965,1.6581,0.40075,0.1196,0.14731,0.13898,0.16102,0.059908,0.058906,0.11749,2.8620327291287486
3445.4,0.15024,309.93,19.946,1.6152,0.45005,0.11934,0.14711,0.13975,0.16087,0.060046,0.058824,0.119,2.8702199863253917
3444.8,0.1503,310.73,19.922,1.6219,0.44688,0.11926,0.14673,0.13989,0.16075,0.060105,0.058773,0.11929,2.8735373275304275
3492.7,0.1516,313.09,19.85,1.6689,0.40463,0.11923,0.14743,0.13925,0.16117,0.059904,0.059016,0.11964,2.8792203686497833
3495.2,0.15104,312.72,19.86,1.6738,0.40691,0.1193,0.14759,0.13918,0.16123,0.059866,0.059042,0.11936,2.8863178078915097
3433.1,0.15138,309.82,19.959,1.6372,0.45316,0.11925,0.14684,0.13997,0.16071,0.060166,0.058725,0.11933,2.8953027360467196
3444.3,0.15162,312.17,19.823,1.6596,0.43102,0.11895,0.14654,0.14,0.16076,0.060121,0.058821,0.12079,2.896631019046798
3433.3,0.15149,310.09,19.844,1.652,0.44329,0.11902,0.14723,0.13989,0.161,0.060035,0.058917,0.12075,2.9021462640517717
3427.0,0.15032,307.53,19.971,1.6382,0.46792,0.11939,0.14787,0.13969,0.16111,0.05995,0.058929,0.11911,2.912154425142829
3441.1,0.15137,309.31,19.795,1.6763,0.43708,0.11901,0.14813,0.13956,0.16143,0.059851,0.05915,0.12123,2.9217724939893004
