Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1999.9,0.033902,223.71,11.088,0.068982,0.055273,0.1086,0.054504,0.18777,0.13031,0.6054293450514194
1997.1,0.033899,223.74,10.928,0.069089,0.055303,0.1087,0.05447,0.20079,0.13052,0.6188751703171146
1960.0,0.034556,223.87,10.937,0.069098,0.055181,0.10851,0.054484,0.20153,0.13023,0.6190328182546282
1958.9,0.034837,225.57,10.81,0.069157,0.055211,0.10854,0.054469,0.20488,0.13043,0.6226964107140258
1964.5,0.034452,228.09,10.769,0.069188,0.055251,0.10866,0.054463,0.20791,0.13048,0.6259514179515261
1998.6,0.033467,226.85,10.933,0.069102,0.055326,0.10881,0.054477,0.20837,0.13046,0.626547112539406
1933.2,0.035405,228.06,10.76,0.069182,0.055147,0.10844,0.054479,0.21841,0.1303,0.6359534140215193
1935.7,0.034534,230.43,10.772,0.069219,0.055173,0.10862,0.054475,0.21937,0.1302,0.6370604005216064
1929.5,0.035524,227.85,10.764,0.069179,0.055132,0.10841,0.054481,0.22273,0.13028,0.6402073541150897
1965.2,0.033716,232.8,10.777,0.069212,0.055279,0.10883,0.054471,0.22644,0.13036,0.6445898306669019
