Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
888.22,0.5212,149.32,2.8163,0.15468,0.47971,0.24774,0.092461,0.18044,0.17726,0.073212,0.15583,0.10244,1.6637763238850145
887.31,0.52468,147.89,2.777,0.15524,0.4809,0.24738,0.092584,0.18066,0.17723,0.073414,0.1568,0.10275,1.6669671971722244
907.65,0.5202,151.21,2.7529,0.15563,0.48164,0.24696,0.092635,0.1806,0.17727,0.073596,0.15758,0.10301,1.6689092000440342
903.27,0.51485,147.45,2.7813,0.15522,0.49454,0.24723,0.092624,0.18042,0.17727,0.073391,0.15674,0.10274,1.6801792159724678
924.9,0.51424,146.91,2.7127,0.1562,0.50497,0.24647,0.092826,0.18062,0.17726,0.073811,0.15858,0.10336,1.6941033916341448
891.3,0.52474,144.86,2.8604,0.15412,0.51391,0.24796,0.092612,0.18,0.17728,0.072923,0.15474,0.10211,1.6956674261942952
888.97,0.51347,157.09,2.7046,0.15619,0.51737,0.247,0.092556,0.18136,0.1772,0.07393,0.15867,0.10336,1.7076307529494898
870.85,0.51809,136.93,3.0734,0.15114,0.53507,0.25032,0.093995,0.17903,0.17715,0.071799,0.14913,0.10055,1.708180704582273
905.9,0.5212,149.32,2.8163,0.15477,0.5273,0.24745,0.092583,0.18016,0.1773,0.073212,0.15595,0.10248,1.7112003302498908
872.38,0.52681,144.57,2.9036,0.15344,0.53688,0.24865,0.09255,0.18005,0.17724,0.072696,0.15356,0.10176,1.71683699525827
