Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
330.71,40.608,74.98,9.573,0.13187,0.11065,0.30151,0.22211,0.041354,0.033959,0.10773,0.050806,0.13909,1.1390757588211813
330.7,40.61,74.978,9.5867,0.13187,0.11065,0.30163,0.22212,0.041321,0.033969,0.10774,0.050809,0.13911,1.1392209498648802
330.84,40.74,74.953,9.5661,0.13187,0.11065,0.30175,0.2221,0.041378,0.03395,0.10773,0.050799,0.13908,1.1393077736287005
330.48,40.622,75.045,9.5878,0.13187,0.11065,0.30197,0.22212,0.041308,0.033963,0.10774,0.050815,0.13911,1.1395423649067555
332.52,38.604,74.958,9.4726,0.13185,0.11066,0.30246,0.22206,0.041596,0.034027,0.10769,0.050801,0.13896,1.1400993966489292
330.67,40.977,75.061,9.5857,0.13187,0.11065,0.30326,0.22211,0.04132,0.033944,0.10774,0.050809,0.13911,1.1408117789843613
333.19,39.933,74.441,9.499,0.13186,0.11066,0.30328,0.22204,0.041618,0.034003,0.10773,0.050746,0.13903,1.14096463979222
330.53,40.642,75.177,9.471,0.13187,0.11065,0.30367,0.22203,0.041582,0.033872,0.10767,0.050794,0.1389,1.1410347949766106
329.82,40.603,74.985,9.587,0.13187,0.11064,0.30358,0.22213,0.041307,0.033956,0.10773,0.050815,0.1391,1.1411301382846308
332.01,40.75,74.791,9.5651,0.13187,0.11065,0.30369,0.22209,0.041414,0.033974,0.10774,0.050781,0.1391,1.1413141362681232
