Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g190),Error (g60),Error (g278),Error (g79),Error (g237),Error (g189),Error (g178),Error (g215),Reduced Error
1774.4,0.24076,177.1,2.2003,0.32869,0.18446,0.10681,0.097669,0.078145,0.17269,0.23156,0.054874,0.033155,1.2880583635599245
1778.0,0.24339,175.08,2.1904,0.33092,0.18453,0.1068,0.097706,0.07822,0.17286,0.23164,0.054984,0.032933,1.2905913689180748
1774.0,0.24055,177.84,2.1873,0.33247,0.18456,0.10674,0.09779,0.078203,0.173,0.23162,0.05517,0.032931,1.2924829722338442
1771.7,0.24103,178.6,2.1988,0.3377,0.18447,0.10678,0.097698,0.078138,0.17276,0.23156,0.054966,0.033124,1.2971983510310074
1778.7,0.24321,171.84,2.2292,0.35548,0.18424,0.10702,0.097355,0.07806,0.17192,0.23147,0.054066,0.033631,1.31323883949853
1753.0,0.25002,171.96,2.2097,0.3585,0.18441,0.10693,0.097486,0.078155,0.17235,0.23158,0.054412,0.033233,1.317056746236802
1748.6,0.25205,174.45,2.1886,0.35782,0.18455,0.10681,0.097671,0.078233,0.17289,0.23167,0.054954,0.032821,1.3174104654081558
1758.8,0.24939,171.8,2.2026,0.36052,0.18446,0.1069,0.097541,0.078193,0.17251,0.23161,0.054561,0.033101,1.3193966386550582
1738.5,0.25023,172.32,2.2653,0.36741,0.18399,0.10717,0.097053,0.077872,0.17112,0.2313,0.053315,0.034261,1.3234961326786039
1763.2,0.25201,172.63,2.1607,0.36386,0.18476,0.10671,0.097876,0.078386,0.17347,0.23182,0.055493,0.032301,1.324679852058269
