Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
467.5,16.43,199.57,284.52,339.53,1.8049,55.968,10.184,0.23028,0.14143,0.030406,0.75854,0.062513,0.11338,0.050908,0.11981,0.14198,1.6492441374849973
392.45,13.336,197.42,284.45,346.19,1.6838,56.682,10.183,0.23215,0.14278,0.027466,0.75648,0.064959,0.11457,0.050346,0.12059,0.14212,1.651463068428536
395.66,12.3,197.3,286.04,340.71,1.5925,56.681,10.179,0.2318,0.14214,0.028193,0.75976,0.064769,0.11442,0.05108,0.12067,0.14247,1.6552902597741364
391.51,14.129,197.42,284.45,346.55,1.8628,55.961,10.225,0.23229,0.14321,0.026835,0.7659,0.06505,0.11464,0.049728,0.12042,0.14147,1.65954071414155
393.44,15.971,197.39,284.41,346.19,1.6842,56.678,10.184,0.23292,0.1443,0.026175,0.76758,0.065311,0.11473,0.048483,0.12043,0.14164,1.6615725816997853
392.5,13.526,193.21,284.46,346.72,1.6821,55.848,10.279,0.23222,0.14295,0.027407,0.76893,0.064942,0.11465,0.050303,0.12068,0.14204,1.6641278460409188
398.78,16.257,197.24,283.95,339.82,1.6673,56.732,10.269,0.23275,0.14424,0.026224,0.774,0.065161,0.11467,0.048214,0.1204,0.14138,1.667040790023345
325.35,285.09,189.1,13.437,48.147,166.04,44.309,7.4591,0.21427,0.13284,0.035132,0.83478,0.058828,0.10382,0.063885,0.10443,0.12897,1.676941123944151
429.18,11.728,197.07,286.52,340.92,1.6664,57.077,10.179,0.23024,0.14023,0.031028,0.79199,0.063238,0.11355,0.052944,0.12048,0.14276,1.6864553588681128
392.98,18.135,193.17,293.76,356.04,1.6962,56.792,10.505,0.23349,0.14549,0.025216,0.796,0.065498,0.11506,0.047111,0.12074,0.14142,1.690023645989736
