Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1999.8,0.11836,124.14,19.989,0.13112,0.19866,0.056132,0.084312,0.071116,0.061997,0.6033362707056191
1999.9,0.11812,124.23,19.818,0.13099,0.19906,0.056063,0.084259,0.071158,0.062038,0.6035718118793068
1999.9,0.11812,124.23,19.818,0.13099,0.19907,0.056063,0.084258,0.071158,0.062038,0.6035719315789072
1999.8,0.11799,124.33,19.819,0.13098,0.19924,0.056064,0.084266,0.071146,0.06204,0.6037341404613064
1989.1,0.11956,123.47,19.984,0.13115,0.19908,0.056102,0.084234,0.07121,0.062004,0.6037822690096718
1998.7,0.11946,123.29,19.966,0.13121,0.19909,0.056113,0.084247,0.071209,0.06199,0.6038597461282444
1999.6,0.11809,124.15,19.74,0.13094,0.19957,0.056029,0.084227,0.071187,0.062057,0.6040067354389417
1999.9,0.11784,124.19,19.82,0.13098,0.19957,0.056062,0.084264,0.071152,0.062043,0.6040724282250353
1999.8,0.11813,123.74,19.697,0.13094,0.19974,0.056006,0.084192,0.071232,0.062069,0.6041774553687805
2000.0,0.11823,123.96,19.687,0.13092,0.19991,0.056005,0.084197,0.071222,0.062067,0.604318394912788
