param_type,param_name,in_l_bound,in_u_bound,out_u_bound,base,out_l_bound
input,cp_tau_s,2.775850645072857,3.3007041525961234,1,10,0
input,cp_b,0.39562339435583616,1.1956229435869365,1,10,0
input,cp_tau_0,-0.538831746612617,2.6661996308783635,1,10,0
input,cp_n,0.15044940946088056,1.1510939227850614,1,10,0
input,average_strain,-2.095300680222989,-0.5430724804873693,1,10,0
output,average_stress,2.382881167181435,3.673334297476869,1,10,0
output,g59_phi_1,0.22693484001260017,0.28094240599869813,1,10,0
output,g59_Phi,0.34478512263266065,0.3650384821957054,1,10,0
output,g59_phi_2,0.63281146723474,0.6487014566517258,1,10,0
output,g63_phi_1,0.27482725543810427,0.33603924537104357,1,10,0
output,g63_Phi,0.44496552334866535,0.48661464300720225,1,10,0
output,g63_phi_2,0.5774458403174296,0.6104259215337374,1,10,0
output,g86_phi_1,0.3126004392612593,0.32684769891599025,1,10,0
output,g86_Phi,0.2537740196788796,0.2855573090077737,1,10,0
output,g86_phi_2,0.557735717818272,0.5728367643474537,1,10,0
output,g237_phi_1,0.3335681749239878,0.33693979412058994,1,10,0
output,g237_Phi,0.3382372988810577,0.36363078011213823,1,10,0
output,g237_phi_2,0.6092421357313318,0.6229907048100862,1,10,0
output,g303_phi_1,0.40224418233261994,0.417986230686384,1,10,0
output,g303_Phi,0.3009214084695404,0.3230044507740414,1,10,0
output,g303_phi_2,0.6488087127293455,0.6680782601484745,1,10,0
