Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
782.33,0.321,122.03,20.0,0.055639,0.19086,0.12978,0.070645,0.084335,0.062025,0.5932799530863214
788.24,0.3172,122.19,19.992,0.05564,0.19089,0.12976,0.070626,0.084351,0.062025,0.5932903128463016
780.0,0.32231,121.65,20.0,0.055635,0.19118,0.1298,0.070681,0.084312,0.062026,0.5936315815095999
783.98,0.32076,121.92,20.0,0.055638,0.19119,0.1298,0.070667,0.084321,0.062027,0.5936472375477962
767.36,0.32711,122.0,19.974,0.055634,0.19142,0.12972,0.070589,0.084369,0.062021,0.5937490813798021
765.32,0.32763,122.12,20.0,0.055633,0.19146,0.1297,0.07057,0.084378,0.062016,0.5937610863176646
783.02,0.32058,121.68,20.0,0.055635,0.19134,0.1298,0.070683,0.084313,0.062026,0.593799733193931
764.26,0.32824,122.36,20.0,0.055635,0.19157,0.12969,0.070544,0.084392,0.062016,0.5938427436626826
766.02,0.32813,121.84,19.999,0.055632,0.1915,0.12974,0.07061,0.084353,0.062019,0.5938542001470125
763.53,0.3282,122.27,19.999,0.055633,0.19159,0.12968,0.070546,0.084392,0.062015,0.5938586411566038
