Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1050.7,0.26833,115.21,4.912,0.22537,0.069079,0.13313,0.054777,0.055453,0.10525,0.6430625419256364
1056.2,0.26042,119.55,4.6481,0.23019,0.069537,0.13429,0.055458,0.054994,0.10763,0.6521007419829026
1064.3,0.27307,119.14,4.149,0.22487,0.070316,0.13707,0.056955,0.054405,0.11289,0.6564962824035255
1057.1,0.27507,112.11,4.7829,0.24053,0.069189,0.13388,0.055029,0.055223,0.10627,0.6601143648503758
1056.9,0.27543,116.8,4.3263,0.23459,0.069923,0.13612,0.056327,0.05456,0.11075,0.6622783599236285
1047.6,0.26993,119.46,4.3134,0.23664,0.070022,0.13604,0.056338,0.054567,0.11077,0.6643675935924512
1056.9,0.27606,119.92,4.0094,0.23328,0.070687,0.13782,0.057367,0.054308,0.11437,0.6678319614381313
1061.0,0.27608,119.19,4.0056,0.23477,0.07069,0.13787,0.057378,0.0543,0.11446,0.6694693052244186
1054.9,0.27514,119.51,4.2875,0.24396,0.070026,0.1363,0.056512,0.054529,0.11127,0.6725997815938051
1059.8,0.27498,114.54,4.4904,0.25011,0.069626,0.13533,0.055837,0.054749,0.10907,0.6747278091556039
