Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
626.45,0.41766,122.51,13.763,0.063482,0.12828,0.068177,0.21891,0.055793,0.086358,0.6210004747930882
611.62,0.43905,120.25,13.767,0.063515,0.12829,0.068249,0.22359,0.055696,0.086364,0.6256994183283512
593.5,0.45525,121.29,13.84,0.063507,0.12828,0.06821,0.22708,0.055732,0.086342,0.6291522964139328
606.73,0.45232,118.69,13.863,0.063472,0.12836,0.068362,0.23251,0.055659,0.0863,0.634664043213328
571.93,0.47942,120.2,13.71,0.06363,0.12817,0.068138,0.23977,0.055631,0.086447,0.6417828900474492
585.27,0.47319,119.35,13.987,0.063457,0.12836,0.068362,0.24042,0.055686,0.086234,0.6425197914686978
616.51,0.41737,124.74,13.774,0.063485,0.1282,0.068013,0.25127,0.05587,0.086438,0.6532823254697285
580.73,0.48353,120.44,12.05,0.064357,0.12786,0.067237,0.25482,0.055409,0.087368,0.6570508898816773
577.3,0.49172,118.51,12.044,0.064401,0.12793,0.067305,0.25584,0.055335,0.087374,0.6581942234716662
577.3,0.49172,118.51,12.126,0.064362,0.12794,0.067334,0.25602,0.055342,0.087353,0.6583434910654046
