Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
8.4454,23.449,24.755,3.2539,0.10036,0.12024,0.099689,0.11478,0.66562,0.034174,0.13578,0.053759,0.23615,1.560552810805746
8.1994,21.987,24.273,3.1783,0.099054,0.11989,0.09949,0.11438,0.68458,0.034642,0.13594,0.05268,0.23582,1.5764841661443831
8.141,22.718,24.06,3.2505,0.10022,0.12011,0.099754,0.11478,0.68893,0.034273,0.13577,0.053634,0.23614,1.5836056127836693
8.2499,21.397,24.254,3.1453,0.09813,0.11975,0.099339,0.11416,0.70701,0.034852,0.13607,0.052045,0.23557,1.5969259589907923
7.9987,21.999,23.784,3.2277,0.099658,0.11992,0.099711,0.11462,0.70407,0.03446,0.13582,0.053156,0.23599,1.5974039640214501
8.0556,21.293,24.324,3.2004,0.098654,0.11952,0.099633,0.11428,0.71075,0.034742,0.13583,0.052179,0.23566,1.6012591552812796
7.3573,21.465,25.33,3.2531,0.10121,0.11878,0.10033,0.11457,0.72372,0.034726,0.1351,0.052604,0.2361,1.6171259513548546
8.1925,20.995,24.252,3.1491,0.097796,0.11957,0.099375,0.11408,0.73024,0.034928,0.13605,0.051731,0.23547,1.6192358383580927
10.82,24.293,26.084,2.5389,0.094231,0.12222,0.095904,0.11289,0.73937,0.037529,0.13823,0.04989,0.23511,1.625376496748063
8.1485,21.048,22.582,3.2929,0.098009,0.12005,0.09967,0.11455,0.73979,0.034343,0.13606,0.052788,0.23568,1.6309459078421693
