Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
191.29,43.862,691.69,736.63,346.18,496.08,423.61,2.6116,0.13492,1.0334,0.047891,0.14971,0.21361,0.10578,0.093417,0.046366,0.05238,1.87744277504109
193.96,43.597,691.44,730.48,346.16,502.4,423.83,2.6076,0.13523,1.1479,0.047819,0.14943,0.21371,0.10577,0.0936,0.046519,0.052718,1.9927345913268202
195.18,43.353,703.42,716.05,346.14,515.46,423.89,2.6166,0.13627,1.2058,0.047997,0.1498,0.21353,0.10572,0.093683,0.04509,0.051855,2.049707764927348
195.55,43.672,703.45,710.14,346.17,515.19,423.66,2.6174,0.13658,1.2207,0.048039,0.14986,0.21353,0.1056,0.093665,0.044751,0.051668,2.0644114926906294
193.95,45.177,691.1,728.12,344.86,518.6,420.93,2.5903,0.137,1.2334,0.048119,0.15,0.21364,0.10537,0.093532,0.045095,0.051851,2.0780483059978843
191.3,43.32,703.41,791.47,343.32,516.69,423.7,2.6179,0.13401,1.2337,0.047883,0.15016,0.21365,0.10607,0.093401,0.047351,0.052078,2.0782891890487667
195.55,43.269,703.64,710.62,341.66,513.13,423.82,2.6475,0.13613,1.2533,0.048004,0.14994,0.21345,0.10556,0.093574,0.044863,0.05169,2.096462037137235
191.31,43.29,694.59,710.07,343.32,518.69,421.65,2.548,0.13728,1.2534,0.048146,0.14944,0.21368,0.10543,0.09404,0.044481,0.052143,2.0980378664972568
191.09,43.819,703.41,795.16,343.34,514.59,423.63,2.6134,0.134,1.2542,0.0479,0.15012,0.21366,0.10594,0.09332,0.047415,0.052103,2.098642007793543
243.84,44.141,769.66,788.42,321.72,542.03,444.72,2.8249,0.13132,1.2785,0.045986,0.1448,0.21316,0.10566,0.094973,0.050846,0.057434,2.1226833117143573
