Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
1300.2,0.28955,169.6,1.9766,0.019357,0.01935658792578277
