Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
940.72,0.44755,159.15,3.1389,0.016221,0.01622105616408238
940.72,0.44755,159.15,3.1389,0.016221,0.016221056164082488
940.72,0.44755,159.15,3.1389,0.016221,0.016221056164082488
940.72,0.44755,159.15,3.1389,0.016221,0.01622105616408254
940.72,0.44755,159.15,3.1389,0.016221,0.016221056164082585
940.72,0.44755,159.15,3.1389,0.016221,0.016221056164082585
940.72,0.44755,159.15,3.1389,0.016221,0.0162210561640826
940.72,0.44755,159.15,3.1389,0.016221,0.016221056164082627
940.72,0.44755,159.15,3.1389,0.016221,0.016221056164082665
940.72,0.44755,159.15,3.1389,0.016221,0.01622105616408269
