Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
247.64,0.66959,63.913,15.9,5.5787e-05,0.070429,0.077483,0.060075,0.24549,0.060894,0.1348,0.6491694650526395
247.64,0.66959,63.913,15.888,5.5787e-05,0.070433,0.077478,0.060072,0.24556,0.060897,0.13479,0.6492321068808843
247.66,0.68047,63.881,15.888,5.5782e-05,0.07045,0.077466,0.060075,0.2458,0.060893,0.1348,0.6494867316815149
247.97,0.66385,63.901,15.892,5.6958e-05,0.070371,0.077535,0.060057,0.24602,0.060882,0.13481,0.6496719878651145
248.92,0.67876,63.763,15.899,5.6852e-05,0.070426,0.077488,0.060078,0.24663,0.06086,0.13486,0.6503364783183593
248.39,0.6796,63.993,15.9,5.6857e-05,0.070399,0.077513,0.060066,0.2471,0.060872,0.13481,0.650762761019272
237.75,0.62512,64.4,14.712,5.5775e-05,0.070458,0.07725,0.059618,0.24866,0.061433,0.13383,0.6512476185139572
244.54,0.65063,64.233,15.89,5.5723e-05,0.070313,0.077594,0.060029,0.24872,0.060955,0.13466,0.6522732322030672
247.25,0.62896,63.963,15.899,5.6908e-05,0.070302,0.077589,0.060044,0.24873,0.060902,0.13479,0.6523572861018438
246.9,0.66952,64.284,15.889,5.5748e-05,0.070392,0.077514,0.060054,0.24877,0.060915,0.13472,0.6523579461058369
