Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
425.07,1.0392,106.54,11.175,0.062756,0.13756,0.1134,0.75814,0.036964,0.13079,0.2353,0.038852,0.22373,1.7375017268058848
419.4,0.31424,149.39,11.059,0.077627,0.14104,0.11464,0.50695,0.052626,0.12949,0.58906,0.034303,0.22849,1.8742310714350876
418.76,0.31943,149.26,11.087,0.077654,0.14101,0.11467,0.5094,0.052616,0.12946,0.60059,0.034286,0.22848,1.888173630361928
432.42,0.30176,150.44,10.909,0.077238,0.14093,0.11441,0.61608,0.052069,0.12958,0.51739,0.034336,0.22835,1.910387680149931
482.32,0.31435,151.33,9.1781,0.071375,0.13856,0.11256,0.95426,0.045847,0.1304,0.19558,0.038288,0.22634,1.913220598034731
419.4,0.33317,149.39,11.059,0.077401,0.14078,0.11466,0.54313,0.052243,0.12942,0.59893,0.034438,0.22835,1.9193433575650067
415.79,0.32393,150.91,11.003,0.077328,0.1407,0.11461,0.5557,0.05229,0.12942,0.59446,0.034632,0.22837,1.9275048721103138
472.17,0.30847,150.99,9.2504,0.071749,0.13877,0.11267,0.96155,0.046434,0.13038,0.20661,0.038156,0.22653,1.9328634382499317
431.9,0.30207,149.83,10.977,0.077453,0.14106,0.11448,0.62491,0.052287,0.12957,0.53341,0.034173,0.22842,1.9357749939163433
414.26,0.33323,150.49,11.07,0.077401,0.14068,0.11469,0.54544,0.052309,0.12937,0.62151,0.034574,0.22837,1.944345986343725
