Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
252.97,726.09,73.929,3.9813,0.090276,0.13929,0.043738,0.11482,0.21657,0.12141,0.063333,0.5623,0.10239,1.4541167908887493
252.97,725.96,73.923,4.0125,0.089924,0.13929,0.043831,0.11463,0.21657,0.12159,0.062789,0.56617,0.10241,1.4571977471436415
252.17,723.8,74.011,4.0143,0.089854,0.13931,0.043881,0.11453,0.21658,0.12163,0.062675,0.5683,0.10243,1.4591923946614895
252.15,717.02,73.678,4.0261,0.089396,0.13932,0.044008,0.11419,0.21663,0.12187,0.062003,0.57613,0.10251,1.4660474698333208
251.18,721.17,73.596,4.0009,0.089942,0.13933,0.043885,0.1145,0.2166,0.12163,0.062766,0.57536,0.10245,1.4664594943823086
256.0,725.81,73.118,3.9308,0.090653,0.13925,0.043535,0.11511,0.21659,0.1212,0.063978,0.57531,0.10232,1.4679418103108786
255.03,720.92,73.671,4.0771,0.088826,0.13926,0.044052,0.11405,0.21662,0.1221,0.061209,0.58247,0.10258,1.471155298656781
247.91,724.63,75.734,3.9945,0.090371,0.13938,0.043897,0.11468,0.21653,0.12139,0.063418,0.57972,0.10243,1.4718162042364524
253.59,722.05,74.301,3.997,0.089882,0.13929,0.043847,0.11456,0.21659,0.12157,0.062805,0.58429,0.10243,1.4752678315208496
257.27,732.97,73.293,4.1903,0.088012,0.13918,0.044152,0.11392,0.21659,0.1225,0.05996,0.58944,0.10271,1.4764633254877824
