Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.039617,4.4728e-07,798.8,517.18,174.18,677.98,80.214,3.1486,0.15263,0.13668,0.042758,0.11806,0.11278,0.093957,0.057372,0.22702,0.078211,1.0194624075708427
0.038926,4.4745e-07,799.85,517.87,174.18,676.8,80.212,3.1441,0.15293,0.13668,0.042731,0.11805,0.11278,0.093966,0.057441,0.22704,0.078246,1.0198629075440684
0.021021,4.4713e-07,783.32,517.7,172.47,676.56,80.219,3.1393,0.15399,0.13662,0.042903,0.11817,0.11273,0.094163,0.056679,0.22682,0.077922,1.0199935004456924
0.021021,4.4704e-07,782.83,506.87,172.32,676.69,80.256,3.0942,0.16279,0.13666,0.042815,0.11813,0.11272,0.094013,0.057451,0.22704,0.078398,1.0300099247239602
0.021021,4.4716e-07,783.34,520.4,176.28,674.46,80.19,3.1164,0.17048,0.13656,0.042743,0.1181,0.11279,0.094155,0.057191,0.2268,0.078294,1.0371133211983483
0.021021,4.4693e-07,774.5,520.35,177.76,674.84,80.223,3.1425,0.17347,0.1365,0.042896,0.11821,0.11274,0.094275,0.056542,0.22656,0.077953,1.0391420815114933
0.021004,4.4767e-07,783.35,520.19,170.72,671.74,81.648,3.1373,0.17337,0.13662,0.042807,0.11807,0.11272,0.094217,0.05679,0.2268,0.077969,1.0393776682353209
0.021004,4.4526e-07,774.82,505.36,174.78,670.79,80.35,3.0645,0.1739,0.13658,0.042727,0.11807,0.11275,0.094133,0.05797,0.22699,0.078869,1.0419831439691938
0.065781,4.5608e-07,806.01,517.66,172.14,764.31,81.932,3.3765,0.18065,0.13636,0.04415,0.11859,0.11325,0.093797,0.053748,0.22616,0.076526,1.0432292951812274
0.021,4.4717e-07,774.43,520.52,177.73,674.83,80.488,3.1475,0.18333,0.1365,0.042915,0.11821,0.11273,0.094303,0.05644,0.22654,0.077879,1.0488411005988338
