Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
596.83,7.4618,9.3893,1.414,0.18623,0.5344,0.12896,0.095053,6.6606,0.49757,8.102850111229186
616.03,7.4226,9.6236,1.4377,0.18596,0.5335,0.12799,0.094577,6.6698,0.49592,8.107717373552475
614.85,7.476,8.95,1.4613,0.18749,0.53807,0.1297,0.095623,6.655,0.50258,8.10849961042065
618.88,7.412,9.4756,1.4402,0.18643,0.53489,0.1284,0.094831,6.6664,0.49779,8.108777773307878
597.03,7.4356,8.6073,1.4614,0.18835,0.5408,0.13122,0.096478,6.6486,0.50676,8.112240353471758
631.27,7.2791,10.305,1.4883,0.18463,0.52977,0.12607,0.093597,6.6915,0.49039,8.115987567630324
631.37,7.28,10.314,1.4877,0.18461,0.5297,0.12604,0.093582,6.6918,0.49029,8.11601286087447
631.46,7.2802,10.239,1.4884,0.1848,0.53025,0.12624,0.093694,6.6906,0.49106,8.116657382655122
615.28,7.6769,8.4326,1.4405,0.18849,0.54072,0.13079,0.096278,6.6541,0.50651,8.116868887660386
623.75,7.494,9.2373,1.4256,0.18697,0.53632,0.12882,0.0951,6.6703,0.49972,8.117229433066823
