Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
701.43,0.36341,123.24,19.996,0.055775,0.18349,0.12965,0.069967,0.084896,0.062004,0.58577326953972
701.44,0.36342,123.24,19.997,0.055775,0.18349,0.12965,0.069967,0.084896,0.062003,0.5857745508697508
700.75,0.36351,123.24,19.998,0.055774,0.18352,0.12964,0.069962,0.0849,0.062005,0.5857976442036639
701.29,0.36338,123.36,19.996,0.055776,0.18356,0.12964,0.069955,0.084904,0.062004,0.5858410858125902
701.5,0.36322,123.35,19.921,0.055777,0.18359,0.12962,0.069945,0.084914,0.062011,0.5858602093378619
701.85,0.36372,123.12,19.997,0.055775,0.18364,0.12966,0.069986,0.084884,0.062002,0.5859472146762582
701.3,0.36336,123.07,19.996,0.055773,0.18399,0.12965,0.069982,0.084889,0.062005,0.5862872817245396
680.43,0.37631,123.27,19.999,0.055751,0.18416,0.12959,0.069869,0.084941,0.062039,0.5863458477908027
705.38,0.36234,122.92,19.955,0.055778,0.18433,0.12967,0.070017,0.084868,0.062,0.586660792637291
698.89,0.36576,123.2,19.557,0.055777,0.1846,0.12953,0.069895,0.084959,0.062062,0.5868286456983768
