Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1363.7,0.19049,124.45,5.3126,0.057941,0.13267,0.22562,0.099547,0.0691,0.054709,0.6395928725546559
1360.4,0.19108,124.53,5.3389,0.058022,0.13259,0.22608,0.099378,0.069088,0.054692,0.639851375785968
1358.2,0.19094,124.74,5.3565,0.058072,0.13252,0.22642,0.099275,0.069083,0.054683,0.6400569964937742
1357.5,0.19094,124.76,5.3343,0.058001,0.13257,0.22651,0.099415,0.069098,0.054691,0.6402863223918858
1358.3,0.18981,124.76,5.4161,0.058258,0.13238,0.22791,0.098916,0.069051,0.05467,0.6411850421161968
1354.4,0.19222,124.59,5.36,0.058088,0.13251,0.22769,0.099239,0.069079,0.054674,0.641272206132205
1357.5,0.19102,124.73,5.2489,0.057735,0.13278,0.22754,0.099959,0.06915,0.05473,0.6418908571722721
1354.8,0.1906,124.75,5.3285,0.05798,0.13257,0.22814,0.099456,0.069107,0.054694,0.6419479373289743
1357.5,0.19137,124.8,5.225,0.057661,0.13283,0.22806,0.10011,0.069164,0.054739,0.6425738693350423
1357.5,0.19113,124.72,5.2146,0.057629,0.13286,0.22802,0.10018,0.069171,0.054746,0.6426098352825973
