Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1939.1,0.14076,122.49,3.8324,0.11239,0.11561,0.10631,0.074522,0.04084,0.14646,0.1447,0.24501,0.39905,1.3848951066675872
1937.7,0.14096,122.52,3.8328,0.11238,0.11561,0.10633,0.074521,0.040838,0.14646,0.14469,0.24501,0.39911,1.3849618468102003
1938.7,0.14108,122.47,3.8318,0.11238,0.11562,0.10632,0.074555,0.040848,0.14647,0.1447,0.245,0.39917,1.3850803471547442
1934.7,0.1407,122.42,3.8327,0.1124,0.11559,0.10633,0.074489,0.040824,0.14646,0.14469,0.24503,0.39951,1.385315832315289
1947.2,0.14028,122.58,3.8284,0.11237,0.11569,0.10624,0.074626,0.040908,0.14651,0.14474,0.24498,0.39945,1.3855249784782713
1948.1,0.14094,122.24,3.8303,0.11237,0.11566,0.10624,0.074623,0.040859,0.14649,0.14472,0.24499,0.40006,1.386011635575117
1939.1,0.14176,121.75,3.8068,0.11234,0.11601,0.10624,0.075138,0.041104,0.14668,0.14489,0.24482,0.39879,1.3860191642390463
1938.5,0.14028,122.52,3.8314,0.11239,0.11562,0.1063,0.074512,0.040852,0.14647,0.1447,0.24502,0.40034,1.3862113445692619
1956.9,0.13964,122.6,3.8278,0.11236,0.11572,0.10617,0.07465,0.040929,0.14652,0.14476,0.24497,0.40062,1.3867039462256523
1936.6,0.14027,122.52,3.8327,0.1124,0.11559,0.10632,0.074472,0.040832,0.14646,0.14469,0.24503,0.40094,1.3867269366255
