Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1885.4,0.029,278.69,12.376,0.14861,0.10889,0.049358,0.031635,0.11318,0.47934,0.13303,0.22336,0.041846,1.3292480125291157
1889.4,0.029034,266.03,13.177,0.1493,0.10934,0.048665,0.031538,0.11312,0.48399,0.13339,0.22333,0.041945,1.3346106657366192
1981.6,0.028148,266.32,13.013,0.1494,0.10928,0.048842,0.031597,0.11317,0.48446,0.13333,0.22344,0.041895,1.3354149327610687
1981.8,0.029631,277.88,11.904,0.14822,0.10863,0.049728,0.031687,0.1132,0.49046,0.13286,0.22341,0.04181,1.3400203239500728
1911.0,0.029806,264.95,13.015,0.14915,0.10926,0.048685,0.031483,0.1131,0.4902,0.13338,0.22331,0.041966,1.340524738958309
1981.3,0.026601,273.95,13.069,0.14948,0.10931,0.049058,0.031744,0.11328,0.49262,0.13322,0.22347,0.041821,1.343994639731853
1992.1,0.02609,275.85,13.058,0.1495,0.1093,0.049152,0.031802,0.11332,0.49711,0.13317,0.22349,0.041791,1.348642453162355
1986.4,0.026187,275.64,13.139,0.14954,0.10935,0.04908,0.03178,0.11332,0.49803,0.1332,0.22347,0.041809,1.3495800389590231
1992.2,0.026467,275.65,13.075,0.14945,0.10931,0.049099,0.031764,0.11331,0.4997,0.13318,0.22346,0.041816,1.3510969251655671
1989.8,0.027101,280.86,12.523,0.1489,0.10899,0.049507,0.0318,0.11331,0.50098,0.13297,0.22346,0.041772,1.3516864309917234
