Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
232.26,196.55,63.551,8.4334,0.029129,0.088225,0.023223,0.39921,0.2631,0.11542,0.18337,0.12603,0.12213,1.3498412891640217
238.84,199.45,62.651,8.4025,0.029013,0.088217,0.023495,0.39846,0.26314,0.11542,0.18411,0.126,0.12209,1.3499481397501603
235.32,199.12,63.081,8.432,0.029056,0.088264,0.023338,0.39073,0.26313,0.11542,0.19338,0.12604,0.12209,1.351451455749361
239.13,190.4,62.749,8.1751,0.029243,0.088195,0.024096,0.42217,0.26288,0.11542,0.16167,0.12612,0.12247,1.3522621878793823
239.11,200.06,62.641,8.4109,0.028996,0.088219,0.023479,0.40023,0.26315,0.11542,0.18763,0.126,0.12207,1.3551940094640094
237.55,195.08,63.351,8.238,0.029196,0.08825,0.023873,0.38176,0.26292,0.1154,0.21073,0.12615,0.12235,1.3606287396278807
234.79,199.78,62.756,8.4695,0.029019,0.088311,0.023255,0.3992,0.26317,0.11542,0.19521,0.12605,0.12207,1.3617142852786634
235.23,199.09,63.104,8.5036,0.029012,0.088152,0.02313,0.40684,0.26323,0.11542,0.18958,0.1259,0.12196,1.3632180268264962
234.35,199.0,63.443,8.4577,0.029061,0.088216,0.023221,0.40138,0.26315,0.11541,0.19485,0.12599,0.12204,1.3633132457453738
232.86,199.59,63.076,8.5101,0.029025,0.088291,0.023089,0.39853,0.2632,0.11542,0.19843,0.12602,0.12202,1.3640133492070778
