Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
147.02,1.9881,230.91,18.842,0.12383,0.062163,0.66307,0.076236,0.14805,0.058402,1.1317500116065846
147.49,1.9578,238.22,19.41,0.12453,0.062559,0.65992,0.077387,0.14939,0.058504,1.1322900074290627
154.99,1.9193,240.55,19.431,0.12478,0.062592,0.66345,0.078169,0.15069,0.058591,1.1382669174734217
157.47,1.8413,250.76,19.64,0.1259,0.063161,0.66559,0.079887,0.15281,0.058922,1.1462753996712214
156.58,1.8371,252.58,19.475,0.1261,0.063288,0.66753,0.079965,0.15279,0.058988,1.148660737547561
154.18,1.9163,240.41,18.869,0.12488,0.062634,0.67484,0.077918,0.15027,0.058677,1.1492211958981484
145.5,1.8378,298.4,19.655,0.12928,0.065839,0.68258,0.082577,0.15393,0.059884,1.174096580934125
129.96,2.1835,227.88,19.576,0.12288,0.062147,0.71518,0.07388,0.14435,0.05818,1.1766123550845495
159.79,1.9022,241.47,19.459,0.12484,0.062575,0.70142,0.078528,0.15133,0.058622,1.177317725170714
155.0,1.948,249.28,19.422,0.12535,0.063054,0.7066,0.078485,0.15062,0.058692,1.1827966987997725
