Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1472.1,0.17759,123.68,5.1193,0.096292,0.050877,0.1005,0.43439,0.13693,0.031562,0.25375,0.114,0.13573,1.3540445125956926
1471.4,0.17811,123.95,5.0905,0.098533,0.051337,0.10074,0.43285,0.13709,0.031666,0.25358,0.11397,0.13594,1.355707181838863
1471.3,0.17759,123.96,5.1197,0.095932,0.050849,0.10052,0.43679,0.13692,0.031576,0.25374,0.114,0.13572,1.3560583628344984
1471.3,0.17721,123.96,5.1214,0.09577,0.050813,0.10051,0.43715,0.13692,0.031573,0.25375,0.114,0.13571,1.3561988659730708
1471.6,0.18075,122.42,5.0862,0.10078,0.05154,0.10066,0.43153,0.13712,0.031584,0.25359,0.11399,0.136,1.3567959746360119
1471.4,0.18058,122.74,5.0729,0.10159,0.051731,0.10079,0.43028,0.1372,0.031644,0.25351,0.11398,0.13609,1.356808850118155
1479.4,0.17698,124.08,5.122,0.096353,0.050842,0.10052,0.43732,0.1369,0.031574,0.25374,0.11399,0.13569,1.3569297934661555
1481.1,0.17878,122.75,5.0883,0.101,0.051515,0.1007,0.43175,0.13713,0.031602,0.25357,0.11397,0.13597,1.3572051397490297
1484.3,0.17806,122.75,5.0987,0.10033,0.051355,0.10064,0.43303,0.13707,0.031572,0.25363,0.11397,0.13589,1.3574867288341348
1479.1,0.17933,122.57,5.0883,0.10104,0.051522,0.10068,0.43218,0.13712,0.03159,0.25358,0.11397,0.13598,1.3576743525003296
