Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1064.9,0.24949,126.73,4.8007,0.055725,0.10243,0.11313,0.13925,0.10364,0.13741,0.23191,0.25161,0.033601,1.1687077090541098
1064.9,0.24941,127.09,4.7866,0.055874,0.10275,0.11315,0.13926,0.10376,0.13751,0.23619,0.25154,0.033665,1.1737063793373403
1064.9,0.24854,126.63,4.8009,0.055749,0.1025,0.11313,0.13927,0.10366,0.13743,0.2426,0.2516,0.033616,1.179553224338438
1073.2,0.24974,126.62,4.7953,0.055989,0.10299,0.11312,0.13926,0.10374,0.1375,0.24276,0.25154,0.033604,1.1805141901563814
1032.2,0.25834,126.71,4.7005,0.056033,0.10289,0.11328,0.13922,0.10402,0.13778,0.24252,0.25142,0.03379,1.1809589554580149
1066.0,0.2494,127.42,4.8442,0.055192,0.10123,0.1131,0.1392,0.1033,0.13713,0.25462,0.2518,0.033487,1.1890559744447529
1066.4,0.24707,127.27,4.7838,0.055989,0.10303,0.11314,0.1393,0.10386,0.13758,0.25382,0.25148,0.033735,1.1919348347190968
1062.3,0.25493,125.96,4.827,0.055278,0.10107,0.11312,0.13916,0.10323,0.13714,0.25897,0.25184,0.033367,1.1931800573947993
1066.5,0.24715,127.85,4.7574,0.056283,0.10362,0.11317,0.13932,0.10409,0.13776,0.25948,0.25135,0.033851,1.1989238743942237
1064.4,0.24983,125.6,4.7908,0.055905,0.1027,0.11313,0.13928,0.1037,0.13749,0.26407,0.25158,0.033584,1.2014320955870632
