Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1449.9,0.17596,125.56,5.1256,0.10965,0.050178,0.10037,0.32333,0.13685,0.031659,0.25378,0.1142,0.13587,1.2558744691980672
1449.6,0.17603,125.89,5.1299,0.10966,0.0501,0.10036,0.32385,0.13684,0.031671,0.25378,0.11419,0.13586,1.2563105972859814
1462.5,0.17595,125.53,5.1296,0.10968,0.050197,0.10038,0.32382,0.13687,0.031653,0.25377,0.11417,0.13585,1.2563890353406468
1446.2,0.17594,125.46,5.1249,0.10964,0.05017,0.10036,0.32506,0.13683,0.031654,0.25378,0.1142,0.13588,1.2575893770000703
1446.2,0.17593,125.44,5.1241,0.10964,0.050182,0.10037,0.32508,0.13683,0.031654,0.25378,0.1142,0.13588,1.257631846747448
1450.5,0.17552,125.9,5.1384,0.10969,0.04996,0.10031,0.32555,0.13681,0.031645,0.25382,0.1142,0.13581,1.2577984209141586
1452.3,0.17637,125.52,5.0945,0.10953,0.050635,0.10061,0.32495,0.13698,0.03176,0.25362,0.11414,0.13606,1.2582907147818199
1455.6,0.17587,124.87,5.1971,0.10982,0.049312,0.099869,0.32798,0.1365,0.031402,0.25409,0.11429,0.13551,1.2587784954460097
1451.5,0.17497,126.21,5.1355,0.10969,0.049951,0.10034,0.32695,0.13685,0.031673,0.2538,0.11419,0.13583,1.2592792947365141
1473.3,0.17566,124.85,5.1711,0.1098,0.049759,0.10008,0.32792,0.13669,0.031485,0.25396,0.11421,0.13563,1.2595371956909474
