Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g14),Error (g240),Error (g101),Error (g72),Error (g287),Error (g207),Error (g262),Error (g95),Reduced Error
2945.4,0.07986,105.91,5.1567,0.50225,0.058873,0.22135,0.034298,0.10516,0.109,0.051855,0.12783,0.1367,1.3473147324934756
2898.0,0.080474,104.42,5.1449,0.50599,0.059344,0.22155,0.034413,0.10519,0.10882,0.051189,0.12821,0.13682,1.351534687217709
2913.9,0.079615,105.56,5.2499,0.50838,0.059714,0.22158,0.034391,0.10518,0.1091,0.050962,0.12816,0.13661,1.3540799964779433
2920.6,0.081086,105.72,5.0929,0.51065,0.058927,0.2214,0.034367,0.10514,0.10887,0.051898,0.12773,0.1368,1.355795338130024
2927.1,0.079573,106.27,5.0897,0.51218,0.058948,0.22138,0.034359,0.10512,0.10892,0.052035,0.12762,0.13675,1.3573159977179925
2887.6,0.081359,104.58,5.1881,0.52282,0.059673,0.22164,0.034458,0.1052,0.1089,0.050869,0.12826,0.13676,1.368585058977815
2914.7,0.080439,104.23,5.2959,0.52328,0.059662,0.22161,0.034388,0.10525,0.10904,0.050596,0.12857,0.13666,1.3690609367781377
2770.6,0.080447,102.62,5.1455,0.5321,0.061273,0.22215,0.034961,0.10527,0.10861,0.049487,0.12879,0.13693,1.3795737613348267
2972.0,0.08222,105.88,5.0256,0.53547,0.057908,0.22117,0.03433,0.10518,0.10884,0.052852,0.1275,0.13687,1.3801211489877787
2938.8,0.081164,106.8,5.1221,0.54279,0.058899,0.22135,0.034333,0.10512,0.10903,0.05209,0.12751,0.13669,1.3878138067215995
