Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
378.06,0.1232,91.858,3.1425,0.044068,0.10241,0.06257,0.13757,0.22284,0.087365,0.23751,0.11364,0.11579,1.1237625656728387
378.38,0.12425,91.301,3.1504,0.044085,0.10227,0.062319,0.13751,0.22282,0.087178,0.2382,0.11369,0.11573,1.1237959045967958
378.34,0.12429,91.651,3.1507,0.04409,0.10231,0.062338,0.13752,0.22282,0.087197,0.23895,0.11368,0.11574,1.124641955912348
379.24,0.11528,93.113,3.0886,0.043904,0.10295,0.064188,0.13797,0.22304,0.088551,0.2346,0.11335,0.11617,1.124715472540182
379.27,0.11604,92.381,3.1251,0.043978,0.10273,0.06323,0.13773,0.22292,0.087844,0.23706,0.11349,0.11598,1.1249560922035626
378.05,0.12033,91.769,3.1364,0.044035,0.1025,0.062778,0.13762,0.22287,0.087508,0.23875,0.11359,0.11584,1.125490816582187
379.24,0.11567,92.79,3.0953,0.043917,0.10289,0.063993,0.13792,0.22301,0.088405,0.23688,0.11338,0.11612,1.1265200613579724
379.24,0.11801,93.128,3.0925,0.043931,0.10288,0.064028,0.13793,0.22302,0.088443,0.23686,0.11339,0.11612,1.1265964803878543
379.27,0.11121,92.503,3.1488,0.043998,0.10275,0.062795,0.13763,0.22285,0.087513,0.24239,0.1135,0.11594,1.1293780727115308
378.01,0.1256,91.027,3.1463,0.044084,0.10221,0.062355,0.13752,0.22282,0.087202,0.24401,0.1137,0.11572,1.1296232704432896
