Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
474.19,0.5,101.54,15.401,2.7438e-06,0.063145,0.085735,0.055566,0.12876,0.069024,0.22547,0.6276945942365023
474.34,0.5,101.54,15.399,2.7439e-06,0.063145,0.085735,0.055566,0.12876,0.069024,0.2255,0.6277313490005679
474.18,0.50011,101.54,15.436,2.7485e-06,0.063137,0.085721,0.055566,0.12876,0.069039,0.22564,0.6278681979212973
470.19,0.50007,102.1,15.345,2.6799e-06,0.06316,0.085822,0.055572,0.12869,0.068926,0.22608,0.6282440607776983
474.19,0.5,101.54,15.295,2.7438e-06,0.063167,0.085782,0.055567,0.12873,0.068979,0.22607,0.6283005774182208
474.52,0.5,102.09,15.377,2.7472e-06,0.063147,0.085787,0.055573,0.12874,0.068968,0.22616,0.6283727390754973
473.89,0.50016,101.6,15.339,2.9087e-06,0.06315,0.085775,0.055567,0.12875,0.068992,0.22622,0.6284598099163481
474.68,0.50124,101.52,15.401,2.7744e-06,0.063144,0.085734,0.055566,0.12876,0.069025,0.22627,0.6285054234508053
473.76,0.50146,101.58,15.403,2.7537e-06,0.063146,0.085742,0.055567,0.12875,0.069014,0.22629,0.6285057182763428
469.5,0.50003,101.88,15.268,2.7259e-06,0.063175,0.085844,0.05557,0.12868,0.068909,0.22638,0.6285581606493134
