Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
608.47,0.75197,134.68,8.7887,0.15884,0.11952,0.12653,0.057407,0.13917,0.11835,0.71279,0.069552,0.28301,1.785168720467623
694.49,0.58025,140.05,8.3823,0.15897,0.11972,0.12734,0.057846,0.13788,0.11718,0.5716,0.069075,0.45608,1.8156910713314354
686.71,0.57843,138.13,8.324,0.15899,0.11986,0.1275,0.057905,0.13779,0.11665,0.54618,0.069175,0.48383,1.8178697935637378
694.53,0.57899,140.12,8.3898,0.15898,0.1197,0.12731,0.057833,0.13791,0.11728,0.57109,0.069079,0.45984,1.819030096696818
686.33,0.57642,138.13,8.3203,0.15901,0.11984,0.1275,0.057909,0.13779,0.11674,0.54319,0.069178,0.48819,1.819347513207279
690.46,0.57718,140.7,8.3093,0.15912,0.1196,0.12753,0.057977,0.13771,0.11787,0.55652,0.06896,0.47543,1.8206982401287513
694.3,0.57386,140.57,8.3582,0.15906,0.11963,0.12738,0.057887,0.13784,0.11767,0.56309,0.069025,0.47129,1.8228820343450018
678.47,0.57848,138.06,8.324,0.1591,0.11974,0.12747,0.057911,0.13785,0.11729,0.54253,0.069192,0.49263,1.8237156535680195
698.96,0.57469,141.67,8.3212,0.15908,0.11959,0.1275,0.057967,0.13768,0.11783,0.57263,0.068898,0.46334,1.824509829928867
686.74,0.57887,140.15,8.3898,0.15909,0.11958,0.12729,0.057841,0.13798,0.11799,0.56351,0.069075,0.47285,1.8251939232226106
