Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1801.0,0.13459,125.44,11.647,0.26392,0.086542,0.068136,0.064474,0.1284,0.055705,0.6671771031580194
1800.0,0.13461,125.58,11.644,0.26431,0.086553,0.068121,0.064479,0.12839,0.055705,0.6675546148960798
1801.0,0.13385,125.83,11.655,0.26609,0.086576,0.068079,0.064487,0.12834,0.055707,0.6692760811685151
1783.7,0.13853,124.93,11.493,0.26616,0.086633,0.068171,0.064543,0.12857,0.05568,0.6697552421103274
1801.4,0.13499,125.8,11.648,0.26705,0.086571,0.068094,0.064464,0.12838,0.055714,0.670277061779663
1786.9,0.13875,124.89,11.492,0.26688,0.086637,0.068168,0.064528,0.12858,0.055685,0.6704860128032559
1820.4,0.13422,124.25,11.646,0.2671,0.086504,0.068219,0.064414,0.12857,0.055706,0.6705103516255844
1803.4,0.13484,125.76,11.658,0.2676,0.086564,0.068097,0.064454,0.12838,0.055717,0.6708149649887882
1782.7,0.13706,125.48,11.548,0.26758,0.086606,0.068135,0.064545,0.12845,0.055686,0.6709951565935713
1803.4,0.13552,125.29,11.488,0.26828,0.086742,0.068047,0.064546,0.12852,0.055683,0.6718169930972456
