Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
658.68,0.58097,137.56,8.5847,0.15891,0.12018,0.12554,0.057242,0.13957,0.11771,0.48416,0.070993,0.46007,1.7343818932245256
647.43,0.58003,138.92,8.69,0.15908,0.11998,0.12516,0.057076,0.13987,0.11874,0.45222,0.071016,0.4971,1.74025263578253
645.25,0.58167,139.85,8.6508,0.15921,0.11978,0.12531,0.05719,0.13978,0.11986,0.44851,0.070871,0.5001,1.740611321306999
644.11,0.56213,139.25,8.6289,0.15926,0.11987,0.12525,0.057145,0.13984,0.11983,0.41855,0.071007,0.53351,1.7442676559765247
644.73,0.57858,140.59,8.7411,0.15918,0.11978,0.12501,0.05702,0.13997,0.11967,0.44393,0.070928,0.51031,1.7458044835892503
638.76,0.5824,140.27,8.6761,0.15931,0.11967,0.12522,0.057162,0.13988,0.12051,0.43467,0.070867,0.52151,1.7487947261489845
647.65,0.58726,138.94,8.684,0.15906,0.11996,0.12523,0.057115,0.13983,0.11875,0.47224,0.07097,0.48615,1.7492952193589022
647.16,0.58203,141.28,8.6691,0.15926,0.11963,0.12529,0.057195,0.13976,0.12048,0.45769,0.070746,0.49926,1.7493044510864615
647.16,0.58275,141.24,8.6705,0.15926,0.11963,0.12528,0.057194,0.13976,0.12044,0.45896,0.070748,0.49824,1.749513332711429
634.8,0.58113,138.61,8.7013,0.15923,0.11988,0.12509,0.057063,0.14002,0.11956,0.42629,0.071076,0.53207,1.7502746842051058
