Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
449.93,0.5193,98.884,15.039,2.9988e-06,0.063209,0.085887,0.055624,0.12921,0.0691,0.26946,0.6724895157214607
449.93,0.5193,98.884,15.575,2.9988e-06,0.063094,0.085675,0.055593,0.12922,0.069368,0.27086,0.6738088762537668
445.16,0.50446,101.39,15.743,2.9347e-06,0.063181,0.085719,0.055558,0.1289,0.069246,0.27158,0.6741850134929199
459.96,0.5124,97.799,15.897,2.9991e-06,0.062993,0.085341,0.055622,0.12945,0.069765,0.27156,0.674731039164304
451.39,0.51937,98.88,15.108,2.9352e-06,0.06319,0.085825,0.055621,0.12922,0.06917,0.27223,0.6752614180002194
455.63,0.51934,97.776,15.273,2.9457e-06,0.063118,0.085651,0.055635,0.12939,0.069407,0.27375,0.6769545211207566
447.57,0.5271,98.868,15.216,2.9084e-06,0.063164,0.085854,0.055592,0.12916,0.069145,0.27422,0.6771273220206866
456.19,0.51932,97.944,15.092,3.0286e-06,0.063151,0.085754,0.055654,0.1294,0.069285,0.2741,0.6773463423521707
449.84,0.52376,98.137,15.462,3.0018e-06,0.063095,0.085691,0.055602,0.12929,0.069364,0.27594,0.6789848650132722
452.49,0.50118,99.156,15.039,2.9812e-06,0.063251,0.085812,0.055641,0.12917,0.06916,0.27597,0.6789985083243346
