param_type,param_name,base,out_u_bound,in_u_bound,in_l_bound,out_l_bound
input,cp_tau_s,10,1,3.27263051589404,1.2851971228109693,0
input,cp_b,10,1,1.2664904083111441,-0.055660471209694216,0
input,cp_tau_0,10,1,2.6583453409118616,1.5043077165563983,0
input,cp_n,10,1,1.293517237663869,0.3156975144495762,0
input,average_strain,10,1,-0.5457345856837233,-2.1130695628312273,0
output,average_stress,10,1,3.70442508266649,2.3462551493613852,0
output,g51_phi_1,10,1,-0.07475496626937017,-0.13038110917364742,0
output,g51_Phi,10,1,0.35262623683080324,0.3177291337289526,0
output,g51_phi_2,10,1,0.5037906830571811,0.48594844921644287,0
output,g56_phi_1,10,1,0.33411181073114726,0.2882268617375928,0
output,g56_Phi,10,1,0.41859955912780855,0.4122588938981368,0
output,g56_phi_2,10,1,0.6895308343300387,0.6857686013476657,0
output,g72_phi_1,10,1,0.7980357077652374,-2.842724603545964,0
output,g72_Phi,10,1,0.46627432178929196,0.4609429228889589,0
output,g72_phi_2,10,1,0.2963141033532408,0.23103609914657056,0
output,g80_phi_1,10,1,0.16902750600893238,0.11600967942473797,0
output,g80_Phi,10,1,0.32686815989368134,0.3194392030460495,0
output,g80_phi_2,10,1,0.6344974225693523,0.6298171960185158,0
output,g126_phi_1,10,1,0.44145946891779386,0.41687339977679744,0
output,g126_Phi,10,1,0.3880834313836485,0.34962715406558736,0
output,g126_phi_2,10,1,0.7000717137406737,0.690399884712457,0
output,g223_phi_1,10,1,0.6695214250797917,0.6202714254390436,0
output,g223_Phi,10,1,0.4756130848415811,0.4545552338011084,0
output,g223_phi_2,10,1,0.7978835663846707,-1.8596491107474697,0
output,g237_phi_1,10,1,0.33617945343744404,0.32522822787084965,0
output,g237_Phi,10,1,0.36034723097576526,0.3396104216255595,0
output,g237_phi_2,10,1,0.6143381765849658,0.6063491143229195,0
output,g262_phi_1,10,1,0.19304107215324187,0.13918618041612896,0
output,g262_Phi,10,1,0.39668743599247036,0.37821614974987783,0
output,g262_phi_2,10,1,0.6025699877799248,0.5847946768329544,0
