Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1153.0,0.33306,161.64,3.4181,0.014745,0.014745347656325207
1153.0,0.33306,161.64,3.4181,0.014745,0.014745347663389405
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347679164505
1153.0,0.33306,161.64,3.4181,0.014745,0.014745347680676157
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347681277717
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347681293963
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347682752895
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347684395465
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347685356574
1152.9,0.33306,161.64,3.4181,0.014745,0.014745347685767376
