Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
313.11,235.98,73.09,10.156,0.049879,0.1409,0.11075,0.10724,0.46338,0.042338,0.13476,0.029165,0.22179,1.3002148698675362
307.79,233.95,73.156,9.8966,0.050074,0.14047,0.11062,0.10705,0.46365,0.04307,0.13467,0.029209,0.22155,1.3003587162606132
309.29,226.49,73.244,9.865,0.05003,0.14055,0.11063,0.10702,0.46408,0.042991,0.1346,0.029277,0.22156,1.300750296722489
308.85,224.99,73.998,10.077,0.050015,0.14066,0.11078,0.10716,0.46479,0.042372,0.13462,0.029248,0.22177,1.3014115324236466
308.15,226.25,73.321,9.8593,0.050061,0.1405,0.11063,0.10702,0.46516,0.04301,0.1346,0.029279,0.22156,1.3018156840027952
309.98,234.23,73.145,10.104,0.049967,0.14077,0.11073,0.1072,0.46507,0.042462,0.13474,0.029182,0.22176,1.301885976217178
309.23,229.92,73.634,9.7678,0.050085,0.14033,0.11057,0.10694,0.46611,0.043378,0.13458,0.029255,0.22143,1.3026736338046843
309.79,210.65,73.468,9.6255,0.050008,0.14039,0.11056,0.10683,0.46712,0.043395,0.13438,0.029424,0.22139,1.3035105836672674
309.48,237.97,72.225,9.8338,0.050007,0.14056,0.11054,0.10701,0.47026,0.043329,0.13472,0.029185,0.22148,1.3070906950363161
304.24,234.84,74.646,10.042,0.050255,0.14023,0.11074,0.10714,0.471,0.042663,0.13464,0.029176,0.22168,1.307535226495706
