Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
181.13,558.11,62.628,10.655,0.12694,0.024012,0.26815,0.3553,0.13532,0.10018,0.11331,0.12029,0.02635,1.2698557747676147
180.45,553.09,63.081,10.662,0.12687,0.02397,0.26808,0.36079,0.13544,0.10011,0.11279,0.12023,0.026451,1.2747348396246219
179.48,553.51,63.301,10.672,0.12691,0.024027,0.26808,0.36268,0.13538,0.10016,0.11248,0.12027,0.026482,1.2764794649842577
179.5,554.57,63.287,10.669,0.12693,0.024037,0.26808,0.36314,0.13539,0.10019,0.11251,0.12028,0.026471,1.277028070122583
179.47,547.35,63.298,10.61,0.12687,0.02392,0.26798,0.3646,0.13585,0.1001,0.11231,0.12017,0.026522,1.2783162869095739
181.75,557.62,62.689,10.669,0.12689,0.023968,0.26814,0.36469,0.13531,0.10012,0.11339,0.12026,0.026357,1.2791285038584341
178.66,550.44,63.401,10.68,0.12688,0.024033,0.26805,0.3676,0.13537,0.10016,0.11222,0.12026,0.026529,1.281108053262617
179.45,547.38,63.298,10.845,0.12662,0.024035,0.26816,0.37027,0.13461,0.09991,0.11271,0.12023,0.026578,1.2831243216583548
179.46,547.92,63.425,10.811,0.12666,0.024025,0.26813,0.37093,0.13476,0.099945,0.11255,0.12023,0.026573,1.283803673886982
179.44,546.52,63.387,10.844,0.1266,0.024024,0.26814,0.37104,0.13464,0.099891,0.11266,0.12022,0.026594,1.283807159947132
