Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
546.41,0.41944,125.4,19.971,0.094801,0.06041,0.73061,0.053898,0.11348,0.065491,1.1186842956917318
540.9,0.41923,124.18,19.844,0.094749,0.060444,0.75442,0.053843,0.11326,0.065668,1.1423815511601199
542.31,0.42846,124.58,19.87,0.094747,0.060459,0.75478,0.053859,0.1133,0.065593,1.1427394991254343
533.22,0.43133,124.31,19.741,0.094805,0.060426,0.75728,0.053809,0.11302,0.065804,1.1451513519443135
505.3,0.41256,133.85,19.572,0.095873,0.059764,0.7594,0.053896,0.11239,0.066338,1.147664066269786
540.56,0.43609,125.19,19.839,0.094785,0.060442,0.77053,0.053864,0.11323,0.065612,1.1584614144350458
571.47,0.39217,123.45,19.945,0.094392,0.060605,0.77669,0.053951,0.11395,0.0653,1.1648845176246971
561.89,0.41557,122.98,19.894,0.094398,0.060646,0.79425,0.053909,0.1137,0.065359,1.182262254158083
538.11,0.41031,122.62,19.915,0.094734,0.060461,0.81314,0.053798,0.1133,0.065682,1.2011104237148027
510.78,0.41983,126.83,18.954,0.095014,0.060211,0.82157,0.053746,0.11191,0.066807,1.2092497397898767
