Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1985.8,0.10454,121.97,19.927,0.12739,0.28619,0.055515,0.085948,0.068853,0.062841,0.6867355131790672
1986.0,0.10275,123.09,19.928,0.12685,0.28785,0.055495,0.08626,0.068493,0.062944,0.6878877729336349
1914.8,0.10452,121.12,19.896,0.12644,0.28913,0.055202,0.085352,0.069294,0.063281,0.6887001090527353
1986.2,0.10427,122.01,19.789,0.12714,0.28899,0.055422,0.085815,0.068968,0.062939,0.6892818190288802
1915.1,0.10175,123.32,19.927,0.12553,0.29189,0.05519,0.085947,0.068605,0.06345,0.6906051160022744
1988.5,0.10336,122.47,19.66,0.12674,0.29095,0.055337,0.08582,0.068932,0.063059,0.690837296044742
1985.8,0.10259,123.85,19.948,0.12663,0.29228,0.055502,0.086415,0.068309,0.062961,0.6921051956438683
1790.0,0.10158,121.47,19.813,0.12384,0.29574,0.054631,0.084749,0.069492,0.064361,0.6928118550513203
1987.5,0.10487,121.24,19.928,0.12768,0.29235,0.055532,0.085824,0.069018,0.062798,0.6931985086155358
1941.8,0.10287,122.15,19.947,0.12645,0.29465,0.05533,0.085864,0.068814,0.063173,0.6942882246800581
