Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
315.76,17.368,0.032889,18.098,0.13542,0.095385,0.7217,0.18194,0.05823,0.10547,1.2981365480899467
317.19,17.343,0.033046,18.121,0.1354,0.09538,0.72313,0.18181,0.058211,0.10539,1.2993200875627868
315.12,17.345,0.033042,18.123,0.13538,0.095352,0.72348,0.1819,0.058197,0.10543,1.2997354573603126
316.77,17.345,0.033345,18.164,0.13534,0.095332,0.72482,0.1817,0.058157,0.1053,1.3006553636460598
312.04,17.368,0.033555,18.108,0.1353,0.095253,0.72767,0.18177,0.058134,0.10531,1.3034397042709591
313.56,17.368,0.032694,18.114,0.13542,0.095374,0.73033,0.18213,0.058229,0.10558,1.3070721577943178
319.26,17.368,0.032912,18.459,0.13532,0.095371,0.73139,0.18193,0.058085,0.10549,1.307589253819452
320.83,17.386,0.031974,18.496,0.13545,0.095502,0.73219,0.18236,0.05818,0.10581,1.3094798605788256
316.69,17.346,0.034736,18.44,0.13508,0.095125,0.73798,0.18114,0.057891,0.1049,1.3121153841926754
309.57,17.345,0.037113,18.141,0.13489,0.094857,0.74299,0.18012,0.057785,0.10415,1.314792109053123
