Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3434.0,2.2178,7.9729,5.9359,0.091237,0.15468,0.075519,0.15506,1.5174,0.2453,0.086312,0.13247,0.31992,2.7779144296244844
3314.5,2.3097,7.3399,5.9634,0.091361,0.15553,0.075703,0.15519,1.5366,0.26082,0.086263,0.13258,0.32709,2.8210978231929174
3433.4,2.268,8.1475,5.9292,0.091174,0.15455,0.075639,0.15508,1.5533,0.26044,0.086395,0.13259,0.32027,2.829461565260913
3435.3,2.2439,7.6736,5.9272,0.091181,0.15441,0.07536,0.15497,1.5169,0.31969,0.086422,0.13248,0.31751,2.848949862345614
3312.0,2.3561,7.6826,5.9618,0.091326,0.15553,0.075933,0.15525,1.491,0.34095,0.086281,0.13273,0.32876,2.857721257840298
3314.3,2.3555,7.6824,5.9595,0.091317,0.15551,0.075932,0.15525,1.4912,0.35934,0.086301,0.13274,0.32864,2.876275022191225
3433.1,2.3038,7.6737,5.9765,0.091275,0.15379,0.074939,0.15468,1.5293,0.35991,0.085968,0.13208,0.31187,2.893772712424388
3449.4,1.971,7.4709,5.9136,0.091377,0.1558,0.075517,0.1553,1.5674,0.30893,0.086424,0.1324,0.3243,2.897420297950135
3340.4,1.9405,8.3345,5.929,0.091639,0.15825,0.076921,0.15598,1.6414,0.22638,0.08633,0.13321,0.34613,2.9162797546198296
3457.6,2.2007,7.42,5.91,0.091141,0.15427,0.075186,0.15494,1.5468,0.36031,0.086556,0.13246,0.31526,2.916915877843528
